position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,MGM,ESPN,pred_odds,diff,sb_no_hr,pick,date,hr
LF,R,Davis Schneider,Kyle Freeland,L,1,TOR,COL,away,8.94,TOR,676914.0,-400.0,-500.0,-348.0,-52,80.0,0,2025-08-06,1
3B,R,Ernie Clement,Kyle Freeland,L,2,TOR,COL,away,5.35,TOR,676391.0,-1100.0,-1400.0,-646.0,-454,91.7,0,2025-08-06,1
DH,R,Vladimir Guerrero,Kyle Freeland,L,3,TOR,COL,away,6.53,TOR,665489.0,-375.0,-400.0,-513.0,138,78.9,0,2025-08-06,1
SS,R,Bo Bichette,Kyle Freeland,L,4,TOR,COL,away,6.21,TOR,666182.0,-500.0,-700.0,-545.0,45,83.3,0,2025-08-06,1
1B,R,Ty France,Kyle Freeland,L,5,TOR,COL,away,5.87,TOR,664034.0,-700.0,-1000.0,-580.0,-120,87.5,0,2025-08-06,0
2B,R,Buddy Kennedy,Kyle Freeland,L,6,TOR,COL,away,7.16,TOR,671083.0,-1200.0,-1600.0,-459.0,-741,92.3,0,2025-08-06,0
RF,L,Nathan Lukes,Kyle Freeland,L,7,TOR,COL,away,5.54,TOR,664770.0,-1200.0,-1600.0,-625.0,-575,92.3,0,2025-08-06,0
C,S,Tyler Heineman,Kyle Freeland,L,8,TOR,COL,away,6.8,TOR,623168.0,-2000.0,-2500.0,-488.0,-1512,95.2,0,2025-08-06,0
CF,R,Myles Straw,Kyle Freeland,L,9,TOR,COL,away,5.79,TOR,664702.0,-10000.0,-5000.0,-590.0,-4410,98.0,0,2025-08-06,0
RF,R,Tyler Freeman,Kevin Gausman,R,1,TOR,COL,home,4.87,COL,671289.0,-900.0,-1400.0,-720.0,-180,90.0,0,2025-08-06,0
CF,L,Mickey Moniak,Kevin Gausman,R,2,TOR,COL,home,6.59,COL,666160.0,-500.0,-650.0,-506.0,6,83.3,0,2025-08-06,0
SS,R,Ezequiel Tovar,Kevin Gausman,R,3,TOR,COL,home,5.88,COL,678662.0,-600.0,-900.0,-580.0,-20,85.7,0,2025-08-06,0
LF,R,Jordan Beck,Kevin Gausman,R,4,TOR,COL,home,5.6,COL,687597.0,-700.0,-1000.0,-614.0,-86,87.5,0,2025-08-06,0
3B,R,Kyle Farmer,Kevin Gausman,R,9,TOR,COL,home,4.4,COL,571657.0,-1200.0,-2000.0,-809.0,-391,92.3,0,2025-08-06,0
1B,R,Yandy Diaz,Tyler Anderson,L,2,TB,LAA,away,6.98,TB,650490.0,-400.0,-500.0,-475.0,75,80.0,0,2025-08-06,0
3B,R,Junior Caminero,Tyler Anderson,L,3,TB,LAA,away,7.44,TB,691406.0,-375.0,-475.0,-438.0,63,78.9,0,2025-08-06,1
2B,L,Brandon Lowe,Tyler Anderson,L,4,TB,LAA,away,7.34,TB,664040.0,-350.0,-475.0,-446.0,96,77.8,0,2025-08-06,0
SS,R,Ha-Seong Kim,Tyler Anderson,L,5,TB,LAA,away,6.82,TB,673490.0,-900.0,-1200.0,-488.0,-412,90.0,0,2025-08-06,0
RF,L,Josh Lowe,Tyler Anderson,L,7,TB,LAA,away,5.62,TB,666139.0,-800.0,-1200.0,-614.0,-186,88.9,0,2025-08-06,0
DH,R,Christopher Morel,Tyler Anderson,L,8,TB,LAA,away,8.65,TB,666624.0,-525.0,-550.0,-363.0,-162,84.0,0,2025-08-06,1
C,R,Nick Fortes,Tyler Anderson,L,9,TB,LAA,away,5.19,TB,663743.0,-1600.0,-2000.0,-669.0,-931,94.1,0,2025-08-06,1
SS,R,Zach Neto,Shane Baz,R,1,TB,LAA,home,6.75,LAA,687263.0,-550.0,-650.0,-492.0,-58,84.6,0,2025-08-06,0
1B,L,Nolan Schanuel,Shane Baz,R,2,TB,LAA,home,5.56,LAA,694384.0,-1100.0,-1600.0,-619.0,-481,91.7,0,2025-08-06,0
DH,R,Mike Trout,Shane Baz,R,3,TB,LAA,home,7.33,LAA,545361.0,-300.0,-400.0,-446.0,146,75.0,0,2025-08-06,1
LF,R,Taylor Ward,Shane Baz,R,4,TB,LAA,home,7.03,LAA,621493.0,-550.0,-700.0,-468.0,-82,84.6,0,2025-08-06,0
RF,R,Jo Adell,Shane Baz,R,5,TB,LAA,home,7.13,LAA,666176.0,-450.0,-600.0,-462.0,12,81.8,0,2025-08-06,0
C,R,Logan O'Hoppe,Shane Baz,R,6,TB,LAA,home,6.55,LAA,681351.0,-525.0,-700.0,-510.0,-15,84.0,0,2025-08-06,0
3B,S,Luis Rengifo,Shane Baz,R,7,TB,LAA,home,4.82,LAA,650859.0,-1600.0,-2500.0,-733.0,-867,94.1,0,2025-08-06,0
2B,L,Brendan Donovan,Justin Wrobleski,L,1,STL,LAD,away,4.27,STL,680977.0,-1200.0,-1400.0,-835.0,-365,92.3,0,2025-08-06,0
DH,R,Ivan Herrera,Justin Wrobleski,L,2,STL,LAD,away,7.74,STL,671056.0,-1000.0,-1200.0,-418.0,-582,90.9,0,2025-08-06,0
1B,L,Alec Burleson,Justin Wrobleski,L,3,STL,LAD,away,5.42,STL,676475.0,-800.0,-750.0,-641.0,-109,88.2,0,2025-08-06,0
LF,L,Lars Nootbaar,Justin Wrobleski,L,4,STL,LAD,away,5.4,STL,663457.0,-750.0,-800.0,-641.0,-109,88.2,0,2025-08-06,0
SS,R,Masyn Winn,Justin Wrobleski,L,5,STL,LAD,away,5.53,STL,691026.0,-1400.0,-1600.0,-625.0,-775,93.3,0,2025-08-06,0
3B,L,Nolan Gorman,Justin Wrobleski,L,6,STL,LAD,away,6.51,STL,669357.0,-600.0,-750.0,-513.0,-87,85.7,0,2025-08-06,0
RF,R,Jordan Walker,Justin Wrobleski,L,7,STL,LAD,away,7.13,STL,691023.0,-1200.0,-1600.0,-462.0,-738,92.3,0,2025-08-06,0
C,R,Pedro Pages,Justin Wrobleski,L,8,STL,LAD,away,4.69,STL,686780.0,-1600.0,-2000.0,-755.0,-845,94.1,0,2025-08-06,0
DH,L,Shohei Ohtani,Matthew Liberatore,L,1,STL,LAD,home,8.34,LAD,660271.0,-250.0,-285.0,-381.0,131,71.4,0,2025-08-06,1
SS,R,Mookie Betts,Matthew Liberatore,L,2,STL,LAD,home,5.01,LAD,605141.0,-550.0,-700.0,-700.0,150,84.6,0,2025-08-06,0
C,R,Will Smith,Matthew Liberatore,L,3,STL,LAD,home,6.43,LAD,669257.0,-450.0,-550.0,-521.0,71,81.8,0,2025-08-06,0
1B,L,Freddie Freeman,Matthew Liberatore,L,4,STL,LAD,home,5.31,LAD,518692.0,-625.0,-800.0,-652.0,27,86.2,0,2025-08-06,0
RF,R,Teoscar Hernandez,Matthew Liberatore,L,5,STL,LAD,home,5.54,LAD,606192.0,-400.0,-500.0,-625.0,225,80.0,0,2025-08-06,0
CF,R,Andy Pages,Matthew Liberatore,L,6,STL,LAD,home,4.64,LAD,681624.0,-625.0,-750.0,-762.0,137,86.2,0,2025-08-06,0
2B,R,Miguel Rojas,Matthew Liberatore,L,7,STL,LAD,home,4.44,LAD,500743.0,,-2000.0,-801.0,-1199,95.2,0,2025-08-06,0
LF,R,Alex Call,Matthew Liberatore,L,8,STL,LAD,home,4.14,LAD,669743.0,-1600.0,-2000.0,-871.0,-729,94.1,0,2025-08-06,0
3B,R,Carlos Correa,Janson Junk,R,1,HOU,MIA,away,4.49,HOU,621043.0,-1000.0,-1400.0,-793.0,-207,90.9,0,2025-08-06,0
LF,L,Jesus Sanchez,Janson Junk,R,2,HOU,MIA,away,7.36,HOU,660821.0,-750.0,-1000.0,-443.0,-307,88.2,0,2025-08-06,0
2B,R,Jose Altuve,Janson Junk,R,3,HOU,MIA,away,4.82,HOU,514888.0,-900.0,-1000.0,-733.0,-167,90.0,0,2025-08-06,0
1B,R,Christian Walker,Janson Junk,R,4,HOU,MIA,away,5.96,HOU,572233.0,-700.0,-900.0,-571.0,-129,87.5,0,2025-08-06,1
C,S,Victor Caratini,Janson Junk,R,5,HOU,MIA,away,5.51,HOU,605170.0,-1600.0,-2000.0,-625.0,-975,94.1,0,2025-08-06,0
DH,R,Yainer Diaz,Janson Junk,R,6,HOU,MIA,away,3.88,HOU,673237.0,-1000.0,-1400.0,-931.0,-69,90.9,0,2025-08-06,0
CF,L,Taylor Trammell,Janson Junk,R,7,HOU,MIA,away,5.23,HOU,666211.0,-1100.0,-1400.0,-663.0,-437,91.7,0,2025-08-06,0
SS,R,Mauricio Dubon,Janson Junk,R,9,HOU,MIA,away,3.16,HOU,643289.0,-3000.0,-3500.0,-1166.0,-1834,96.8,0,2025-08-06,0
SS,L,CJ Abrams,Jeffrey Springs,L,1,ATH,WSH,home,4.99,WSH,682928.0,-900.0,-1000.0,-700.0,-200,90.0,0,2025-08-06,0
LF,L,James Wood,Jeffrey Springs,L,2,ATH,WSH,home,6.31,WSH,695578.0,-625.0,-750.0,-533.0,-92,86.2,0,2025-08-06,0
DH,S,Josh Bell,Jeffrey Springs,L,3,ATH,WSH,home,5.77,WSH,605137.0,-625.0,-750.0,-594.0,-31,86.2,0,2025-08-06,0
1B,L,Nathaniel Lowe,Jeffrey Springs,L,4,ATH,WSH,home,4.61,WSH,663993.0,-1200.0,-1400.0,-770.0,-430,92.3,0,2025-08-06,0
C,R,Riley Adams,Jeffrey Springs,L,8,ATH,WSH,home,8.18,WSH,656180.0,-650.0,-900.0,-390.0,-260,86.7,0,2025-08-06,1
CF,R,Jacob Young,Jeffrey Springs,L,9,ATH,WSH,home,3.89,WSH,696285.0,-5000.0,-4000.0,-931.0,-3069,97.6,0,2025-08-06,0
3B,R,Alex Bregman,Michael Wacha,R,2,KC,BOS,home,6.17,BOS,608324.0,-525.0,-750.0,-549.0,24,84.0,0,2025-08-06,0
CF,L,Jarren Duran,Michael Wacha,R,3,KC,BOS,home,5.99,BOS,680776.0,-700.0,-1000.0,-567.0,-133,87.5,0,2025-08-06,0
SS,R,Trevor Story,Michael Wacha,R,5,KC,BOS,home,6.64,BOS,596115.0,-625.0,-800.0,-502.0,-123,86.2,0,2025-08-06,0
DH,L,Masataka Yoshida,Michael Wacha,R,6,KC,BOS,home,5.71,BOS,807799.0,-1600.0,-2000.0,-599.0,-1001,94.1,0,2025-08-06,0
RF,L,Wilyer Abreu,Michael Wacha,R,8,KC,BOS,home,6.55,BOS,677800.0,-550.0,-750.0,-510.0,-40,84.6,0,2025-08-06,0
2B,R,Ceddanne Rafaela,Michael Wacha,R,9,KC,BOS,home,4.98,BOS,678882.0,-1100.0,-1600.0,-706.0,-394,91.7,0,2025-08-06,0
RF,L,Sal Frelick,Spencer Strider,R,1,MIL,ATL,away,4.47,MIL,686217.0,-2500.0,-2800.0,-793.0,-1707,96.2,0,2025-08-06,0
C,R,William Contreras,Spencer Strider,R,2,MIL,ATL,away,3.87,MIL,661388.0,-1400.0,-1600.0,-931.0,-469,93.3,0,2025-08-06,0
1B,R,Andrew Vaughn,Spencer Strider,R,3,MIL,ATL,away,5.96,MIL,683734.0,-1100.0,-1200.0,-571.0,-529,91.7,0,2025-08-06,1
DH,L,Christian Yelich,Spencer Strider,R,4,MIL,ATL,away,5.63,MIL,592885.0,-1100.0,-1200.0,-609.0,-491,91.7,0,2025-08-06,0
LF,S,Isaac Collins,Spencer Strider,R,5,MIL,ATL,away,3.84,MIL,686555.0,-2000.0,-2500.0,-942.0,-1058,95.2,0,2025-08-06,0
CF,S,Blake Perkins,Spencer Strider,R,6,MIL,ATL,away,5.39,MIL,663368.0,-5000.0,-3500.0,-641.0,-2859,97.2,0,2025-08-06,1
2B,L,Brice Turang,Spencer Strider,R,7,MIL,ATL,away,4.14,MIL,668930.0,-2500.0,-2800.0,-871.0,-1629,96.2,0,2025-08-06,0
