stat,pre_split,prior_year,two_years,league_average,correlation,pre_split_bbe,prior_bbe,two_years_bbe,data_points
xwobacon,0.0,0.101,0.087,0.812,0.15,0,10,10,1287
la,0.0,0.162,0.115,0.723,0.37,0,10,10,1287
ev,0.0,0.168,0.151,0.681,0.03,0,10,10,1287
max_ev,0.0,0.355,0.352,0.292,0.02,0,10,10,1287
gb/fb,0.0,0.087,0.07,0.843,0.48,0,10,10,1287
whiff,0.0,0.169,0.193,0.638,0.24,0,10,10,1287
hh,0.0,0.133,0.127,0.741,0.2,0,10,10,1287
ld,0.0,0.012,0.0,0.988,0.18,0,10,10,1287
barrel,0.0,0.127,0.107,0.766,0.52,0,10,10,1287
weak,0.0,0.094,0.079,0.826,0.19,0,10,10,1287
hr,0.0,0.067,0.072,0.861,0.61,0,10,10,1287
swing%,0.0,0.195,0.17,0.635,0.09,0,10,10,1287
chase%,0.0,0.103,0.156,0.741,0.16,0,10,10,1287
xwobacon,0.082,0.084,0.079,0.755,0.12,10,10,10,1091
la,0.095,0.163,0.13,0.613,0.29,10,10,10,1091
ev,0.109,0.161,0.13,0.6,0.02,10,10,10,1091
max_ev,0.226,0.24,0.181,0.352,0.02,10,10,10,1091
gb/fb,0.081,0.075,0.042,0.802,0.32,10,10,10,1091
whiff,0.16,0.159,0.159,0.521,0.2,10,10,10,1091
hh,0.119,0.126,0.107,0.648,0.16,10,10,10,1091
ld,0.0,0.003,0.016,0.981,0.13,10,10,10,1091
barrel,0.076,0.093,0.106,0.724,0.46,10,10,10,1091
weak,0.068,0.097,0.081,0.754,0.16,10,10,10,1091
hr,0.05,0.061,0.057,0.832,0.5,10,10,10,1091
swing%,0.177,0.149,0.146,0.529,0.07,10,10,10,1091
chase%,0.069,0.136,0.111,0.684,0.14,10,10,10,1091
xwobacon,0.148,0.075,0.068,0.709,0.12,25,10,10,1270
la,0.184,0.13,0.1,0.586,0.29,25,10,10,1270
ev,0.204,0.111,0.134,0.55,0.02,25,10,10,1270
max_ev,0.39,0.198,0.114,0.298,0.02,25,10,10,1270
gb/fb,0.056,0.062,0.069,0.813,0.33,25,10,10,1270
