stat,pre_split,prior_year,two_years,league_average,correlation,pre_split_bbe,prior_bbe,two_years_bbe,data_points
xwobacon,0.0,0.021,0.015,0.964,0.3,0,10,10,1602
la,0.0,0.173,0.163,0.665,1.49,0,10,10,1602
ev,0.0,0.082,0.057,0.862,0.05,0,10,10,1602
gb/fb,0.0,0.145,0.114,0.742,1.25,0,10,10,1602
x_move,0.0,0.804,0.12,0.076,0.91,0,10,10,1602
z_move,0.0,0.243,0.091,0.666,2.12,0,10,10,1602
extension,0.0,0.876,0.101,0.023,0.03,0,10,10,1602
velo,0.0,0.576,0.424,0.0,0.07,0,10,10,1602
spin_rate,0.0,0.532,0.033,0.434,0.2,0,10,10,1602
whiff,0.0,0.18,0.178,0.642,0.61,0,10,10,1602
hh,0.0,0.066,0.101,0.833,0.41,0,10,10,1602
ld,0.0,0.0,0.0,1.0,0.53,0,10,10,1602
barrel,0.0,0.027,0.014,0.96,1.18,0,10,10,1602
weak,0.0,0.165,0.103,0.732,0.52,0,10,10,1602
hr,0.0,0.054,0.013,0.933,1.21,0,10,10,1602
swing%,0.0,0.186,0.186,0.628,0.17,0,10,10,1602
chase%,0.0,0.179,0.154,0.666,0.48,0,10,10,1602
xwobacon,0.07,0.036,0.029,0.866,0.13,10,10,10,1365
la,0.527,0.1,0.086,0.287,0.84,10,10,10,1365
ev,0.273,0.057,0.046,0.624,0.03,10,10,10,1365
gb/fb,0.328,0.05,0.066,0.557,0.71,10,10,10,1365
x_move,0.929,0.015,0.015,0.04,0.18,10,10,10,1365
z_move,0.946,0.0,0.0,0.054,0.24,10,10,10,1365
extension,0.781,0.175,0.029,0.016,0.02,10,10,10,1365
velo,0.987,0.004,0.005,0.004,0.01,10,10,10,1365
spin_rate,1.0,0.0,0.0,0.0,0.03,10,10,10,1365
whiff,0.583,0.092,0.064,0.261,0.36,10,10,10,1365
hh,0.191,0.059,0.068,0.681,0.2,10,10,10,1365
ld,0.029,0.022,0.017,0.933,0.19,10,10,10,1365
barrel,0.095,0.033,0.04,0.832,0.48,10,10,10,1365
weak,0.401,0.111,0.071,0.417,0.31,10,10,10,1365
hr,0.036,0.05,0.035,0.88,0.48,10,10,10,1365
swing%,0.307,0.163,0.132,0.398,0.1,10,10,10,1365
chase%,0.513,0.115,0.041,0.331,0.29,10,10,10,1365
xwobacon,0.186,0.026,0.003,0.785,0.12,25,10,10,1062
la,0.755,0.068,0.039,0.139,0.71,25,10,10,1062
ev,0.453,0.055,0.037,0.455,0.03,25,10,10,1062
gb/fb,0.366,0.079,0.065,0.49,0.87,25,10,10,1062
x_move,0.949,0.0,0.009,0.042,0.14,25,10,10,1062
z_move,0.957,0.0,0.0,0.043,0.18,25,10,10,1062
extension,0.85,0.099,0.029,0.022,0.01,25,10,10,1062
velo,0.993,0.0,0.002,0.005,0.01,25,10,10,1062
spin_rate,1.0,0.0,0.0,0.0,0.02,25,10,10,1062
whiff,0.79,0.039,0.101,0.071,0.27,25,10,10,1062
