diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.03,0.2,209,31.1,469.11,22.45,354,26.27,42.93,1.21,512.04,563,35,9.094849023,
0.015,0.22,197,30.46,234.51,11.9,314,29.3,222.09,7.07,456.6,511,50,8.935420744,This one
0.03,0.2,216,31.02,462.11,21.39,371,26.42,60.61,1.63,522.72,587,30,8.904940375,
0.015,0.22,214,30.37,250.03,11.68,357,29.13,184.48,5.17,434.51,571,35,7.609632224,
0.03,0.2,223,30.04,392.11,17.58,386,26.68,64.23,1.66,456.34,609,25,7.493267652,
0.025,0.2,216,31.02,543.55,25.16,379,24.54,-127.82,-3.37,415.73,595,50,6.987058824,
0.035,0.2,197,31.98,462.56,23.48,328,25.91,-100.3,-3.06,362.26,525,25,6.900190476,
0.025,0.2,229,30.57,509.05,22.23,386,24.87,-97.75,-2.53,411.3,615,45,6.687804878,
0.03,0.2,191,30.89,451.63,23.65,327,24.46,-120.03,-3.67,331.6,518,50,6.401544402,
0.015,0.22,206,30.58,259.07,12.58,343,28.28,90.55,2.64,349.62,549,40,6.368306011,
0.015,0.22,202,30.2,219.48,10.87,328,28.35,113.05,3.45,332.53,530,45,6.274150943,
0.03,0.2,197,30.46,422.59,21.45,334,24.85,-91.56,-2.74,331.03,531,45,6.234086629,
0.025,0.2,209,31.1,538,25.74,360,23.89,-200.43,-5.57,337.57,569,60,5.932688928,
0.02,0.22,220,30,203.49,9.25,351,29.06,130.68,3.72,334.17,571,25,5.852364273,
0.015,0.22,233,30.04,248.56,10.67,375,28.53,98.08,2.62,346.64,608,30,5.701315789,
0.03,0.2,202,30.69,443.61,21.96,342,24.56,-138.56,-4.05,305.05,544,40,5.607536765,
0.025,0.2,213,30.52,498,23.38,373,24.13,-181.84,-4.88,316.16,586,55,5.395221843,
0.015,0.2,404,29.7,468.83,11.6,642,27.41,76.92,1.2,545.75,1046,10,5.21749522,
0.03,0.2,187,31.02,461.6,24.68,316,23.73,-200.93,-6.36,260.67,503,55,5.182306163,
0.02,0.22,205,29.76,185.54,9.05,327,28.75,84.77,2.59,270.31,532,30,5.081015038,
0.025,0.2,242,29.75,452.12,18.68,401,24.94,-128.29,-3.2,323.83,643,40,5.036236392,
0.02,0.22,196,30.1,198.5,10.13,307,28.34,50.19,1.63,248.69,503,35,4.944135189,
