diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.045,0.84,339,86.73,69.74,2.06,520,88.08,189.88,3.65,259.62,859,15,3.022351572,this one
0.05,0.8,526,85.36,163.98,3.12,792,84.34,140.57,1.77,304.55,1318,65,2.310698027,
0.055,0.8,461,84.82,129.32,2.81,708,84.04,116.98,1.65,246.3,1169,45,2.106928999,
0.05,0.8,513,85.19,148.54,2.9,772,84.2,122.16,1.58,270.7,1285,70,2.106614786,
0.05,0.8,486,84.98,128.89,2.65,740,84.32,126.87,1.71,255.76,1226,85,2.086133768,
0.05,0.8,474,85.02,128.01,2.7,720,84.31,120.61,1.68,248.62,1194,90,2.082244556,
0.05,0.8,499,84.97,130.84,2.62,759,84.32,130.12,1.71,260.96,1258,75,2.074403816,
0.05,0.8,489,85.07,133.76,2.74,744,84.27,121.5,1.63,255.26,1233,80,2.070235199,
0.045,0.84,358,86.59,48.7,1.36,545,87.52,137.98,2.53,186.68,903,25,2.067331118,
0.07,0.8,294,83.33,56.64,1.93,435,83.45,82.23,1.89,138.87,729,25,1.904938272,
0.035,0.84,396,87.12,129.85,3.28,598,85.12,55.43,0.93,185.28,994,10,1.863983903,
0.05,0.8,540,85.37,168.5,3.12,817,83.72,83.25,1.02,251.75,1357,60,1.855195284,
0.075,0.8,303,82.18,80.26,2.65,443,81.04,56.66,1.28,136.92,746,10,1.83538874,
0.065,0.8,330,83.64,68.01,2.06,503,83.5,81.46,1.62,149.47,833,30,1.794357743,
0.05,0.8,583,84.39,116.74,2,886,84.2,145.41,1.64,262.15,1469,50,1.784547311,
0.055,0.8,435,84.6,110.68,2.54,676,83.73,85.73,1.27,196.41,1111,50,1.767866787,
0.045,0.8,659,84.98,151.62,2.3,976,84.22,133.87,1.37,285.49,1635,80,1.746116208,
0.05,0.8,609,84.56,132.24,2.17,926,84.02,134.83,1.46,267.07,1535,45,1.739869707,
0.045,0.8,642,85.05,150.1,2.34,956,84.21,126.24,1.32,276.34,1598,85,1.729286608,
0.05,0.8,699,84.55,154.09,2.2,1040,83.85,137.32,1.32,291.41,1739,35,1.67573318,
0.045,0.84,289,86.51,27.29,0.94,443,87.36,94.8,2.14,122.09,732,40,1.667896175,
0.055,0.8,411,84.18,83.59,2.03,646,83.9,92.69,1.43,176.28,1057,55,1.667738884,
0.04,0.84,571,86.16,46.75,0.82,808,87.25,181.72,2.25,228.47,1379,20,1.656780276,
0.05,0.78,611,83.63,99.56,1.63,885,83.84,148.19,1.67,247.75,1496,65,1.656082888,
0.055,0.8,539,84.23,115.04,2.13,828,83.7,110.5,1.33,225.54,1367,35,1.649890271,
0.045,0.84,368,86.41,48.69,1.32,569,86.82,105.24,1.85,153.93,937,20,1.642796158,
0.06,0.8,504,83.73,101.73,2.02,794,83.38,109.93,1.38,211.66,1298,25,1.630662558,
0.045,0.8,636,84.91,139.18,2.19,952,84.14,118.96,1.25,258.14,1588,90,1.625566751,
0.065,0.8,388,84.02,103.72,2.67,587,82.79,52.8,0.9,156.52,975,25,1.605333333,
0.055,0.8,492,83.94,87.5,1.78,755,83.84,108.44,1.44,195.94,1247,40,1.571291099,
0.04,0.84,441,85.94,8.4,0.19,617,87.84,156.47,2.54,164.87,1058,45,1.55831758,
0.055,0.78,546,82.97,64.9,1.19,809,83.68,145.96,1.8,210.86,1355,45,1.556162362,
0.045,0.8,694,85.01,162.56,2.34,1038,83.91,106.07,1.02,268.63,1732,65,1.550981524,
0.07,0.8,360,83.61,88.04,2.45,536,82.46,50.5,0.94,138.54,896,20,1.546205357,
0.06,0.8,393,84.48,109.16,2.78,605,82.98,44.31,0.73,153.47,998,35,1.537775551,
0.05,0.8,556,84.53,118,2.12,846,83.81,96.17,1.14,214.17,1402,55,1.527603424,
0.055,0.8,350,84.29,75.44,2.16,543,83.61,60.25,1.11,135.69,893,85,1.519484882,
0.04,0.84,430,85.81,0.88,0.02,603,87.89,155.52,2.58,156.4,1033,50,1.514036786,
0.055,0.8,580,84.31,131.73,2.27,904,83.41,91.22,1.01,222.95,1484,30,1.502358491,
0.06,0.8,360,83.61,61.2,1.7,552,83.51,75.35,1.37,136.55,912,40,1.497258772,
0.045,0.8,666,84.98,154.3,2.32,998,83.87,93.21,0.93,247.51,1664,75,1.487439904,
0.075,0.65,298,77.85,-4.65,-0.16,428,79.67,112.26,2.62,107.61,726,80,1.482231405,
0.05,0.8,647,84.39,128.38,1.98,977,83.73,112.27,1.15,240.65,1624,40,1.481834975,
0.06,0.8,448,83.71,85.35,1.91,677,83.31,80.27,1.19,165.62,1125,30,1.472177778,
0.045,0.84,333,86.79,47.11,1.41,505,86.73,76.21,1.51,123.32,838,30,1.471599045,
0.06,0.8,328,83.54,49.58,1.51,495,83.64,70.92,1.43,120.5,823,50,1.464155529,
0.05,0.78,579,83.42,78.41,1.35,848,83.73,127.06,1.5,205.47,1427,75,1.439873861,
0.06,0.8,342,83.33,44.84,1.31,520,83.65,79.12,1.52,123.96,862,45,1.438051044,
0.05,0.78,597,83.42,81.45,1.36,864,83.68,127.11,1.47,208.56,1461,70,1.4275154,
0.055,0.8,366,84.15,70.94,1.94,555,83.6,59.35,1.07,130.29,921,80,1.41465798,
0.045,0.8,674,84.87,147.3,2.19,1013,83.81,90.51,0.89,237.81,1687,70,1.409662122,
0.05,0.78,625,83.68,104.08,1.67,918,83.44,112.23,1.22,216.31,1543,60,1.401879456,
0.055,0.8,367,84.2,73.44,2,559,83.54,56.25,1.01,129.69,926,75,1.400539957,
0.04,0.84,467,85.87,6.39,0.14,660,87.58,150.56,2.28,156.95,1127,40,1.392635315,
0.06,0.8,314,83.76,54.93,1.75,483,83.44,55.81,1.16,110.74,797,55,1.389460477,
0.05,0.78,567,83.42,75.99,1.34,833,83.67,118.44,1.42,194.43,1400,80,1.388785714,
0.045,0.8,702,84.9,156.56,2.23,1057,83.73,85.93,0.81,242.49,1759,60,1.378567368,
0.055,0.8,344,84.01,62.24,1.81,537,83.61,58.72,1.09,120.96,881,90,1.372985244,
0.075,0,286,77.62,-8.29,-0.29,421,79.33,104.72,2.49,96.43,707,85,1.363932107,
0.075,0.6,286,77.62,-8.29,-0.29,421,79.33,104.72,2.49,96.43,707,85,1.363932107,
0.04,0.84,548,85.77,10.29,0.19,768,87.37,168.89,2.2,179.18,1316,25,1.361550152,
0.045,0.84,281,86.48,24.39,0.87,430,86.98,72.21,1.68,96.6,711,45,1.358649789,
0.045,0.84,310,86.13,16.52,0.53,466,87.12,88.73,1.9,105.25,776,35,1.356314433,
0.05,0.78,562,83.27,65.78,1.17,828,83.7,121.14,1.46,186.92,1390,85,1.344748201,
0.04,0.84,415,86.02,10.68,0.26,576,87.5,122.15,2.12,132.83,991,55,1.340363269,
0.05,0.78,550,83.27,64.9,1.18,808,83.66,114.88,1.42,179.78,1358,90,1.323858616,
0.06,0.8,297,83.5,41.42,1.39,445,83.6,56.62,1.27,98.04,742,65,1.321293801,
0.075,0,300,77.67,-8.93,-0.3,435,79.31,105.78,2.43,96.85,735,80,1.317687075,
0.075,0.6,300,77.67,-8.93,-0.3,435,79.31,105.78,2.43,96.85,735,80,1.317687075,
0.04,0.84,488,85.86,7.17,0.15,684,87.43,147.21,2.15,154.38,1172,35,1.317235495,
0.055,0.8,398,83.92,68.92,1.73,627,83.57,65.24,1.04,134.16,1025,60,1.308878049,
0.035,0.84,702,86.18,25.2,0.36,989,87.46,193.39,1.96,218.59,1691,35,1.292667061,
0.045,0.8,728,84.89,158.13,2.17,1100,83.64,76.61,0.7,234.74,1828,55,1.284135667,
0.045,0.78,722,83.52,77.43,1.07,1053,83.86,147.94,1.4,225.37,1775,90,1.269690141,
0.04,0.84,547,86.11,66.78,1.22,813,86.1,102.29,1.26,169.07,1360,15,1.243161765,
0.06,0.78,355,82.82,44.28,1.25,519,83.04,64.19,1.24,108.47,874,65,1.241075515,
0.055,0.8,384,83.33,37.98,0.99,600,83.83,82.94,1.38,120.92,984,65,1.228861789,
0.035,0.84,537,86.41,26.9,0.5,751,87.35,129.42,1.72,156.32,1288,90,1.213664596,
0.035,0.84,546,86.26,18.04,0.33,763,87.42,137.47,1.8,155.51,1309,85,1.188006112,
0.035,0.84,546,86.26,18.04,0.33,763,87.42,137.47,1.8,155.51,1309,80,1.188006112,
0.035,0.84,571,86.16,12.77,0.22,813,87.45,151.28,1.86,164.05,1384,65,1.18533237,
0.06,0.8,303,83.5,42.3,1.4,457,83.37,47,1.03,89.3,760,60,1.175,
0.07,0.8,432,81.94,100.52,2.33,632,80.38,24.4,0.39,124.92,1064,10,1.17406015,
0.065,0.8,452,83.85,118.98,2.63,708,82.06,17.06,0.24,136.04,1160,20,1.172758621,
0.045,0.78,731,83.58,83.58,1.14,1060,83.68,125.22,1.18,208.8,1791,85,1.165829146,
0.045,0.8,767,84.75,155.87,2.03,1154,83.54,67.51,0.59,223.38,1921,50,1.162831858,
0.06,0.78,361,82.83,45.16,1.25,532,82.89,57.24,1.08,102.4,893,60,1.146696529,
0.055,0.78,411,82.97,48.3,1.18,622,83.12,68.5,1.1,116.8,1033,85,1.130687318,
0.07,0.78,379,81,-7.78,-0.21,536,83.02,111.21,2.07,103.43,915,25,1.130382514,
