game_year,playerid
2026,543760
2025,543760
2024,543760
2023,543760
2026,660670
2025,660670
2024,660670
2023,660670
2026,680776
2025,680776
2024,680776
2025,596019
2024,596019
2023,596019
2026,660271
2025,660271
2024,660271
2026,518692
2025,518692
2024,518692
2023,518692
2026,646240
2025,646240
2024,646240
2026,608324
2025,608324
2024,608324
2023,608324
2025,663993
2024,663993
2023,663993
2026,656941
2025,656941
2024,656941
2026,621566
2025,621566
2024,621566
2023,621566
2024,593160
2023,593160
2026,672695
2025,672695
2026,683002
2025,683002
2024,683002
2023,683002
2026,680757
2025,680757
2024,680757
2026,665742
2025,665742
2024,665742
2023,665742
2026,663586
2025,663586
2024,663586
2023,663586
2026,677594
2025,677594
2024,677594
2023,677594
2026,668227
2025,668227
2024,668227
2023,668227
2026,624413
2025,624413
2024,624413
2023,624413
2026,677951
2025,677951
2024,677951
2023,677951
2026,607208
2025,607208
2024,607208
2023,607208
2026,665489
2025,665489
2024,665489
2023,665489
2026,663728
2025,663728
2024,663728
2023,663728
2026,592450
2025,592450
2024,592450
2026,682829
2025,682829
2024,682829
2023,682829
2025,667670
2024,667670
2023,667670
2026,666182
2025,666182
2024,666182
2026,621020
2025,621020
2024,621020
2023,621020
2026,671218
2025,671218
2024,671218
2026,678662
2025,678662
2024,678662
2023,678662
2026,553993
2025,553993
2024,553993
2023,553993
2026,605141
2025,605141
2024,605141
2023,605141
2026,668804
2025,668804
2024,668804
2023,668804
2026,664023
2025,664023
2024,664023
2023,664023
2024,571745
2025,669242
2026,665487
2025,665487
2024,665487
2023,665487
2026,608070
2025,608070
2024,608070
2023,608070
2025,683011
2024,683011
2023,683011
2026,695578
2025,695578
2024,695578
2026,542303
2025,542303
2024,542303
2023,542303
2026,663538
2025,663538
2024,663538
2023,663538
2026,642715
2025,642715
2024,642715
2023,642715
2026,668939
2025,668939
2024,668939
2023,668939
2026,641487
2025,641487
2024,641487
2026,502671
2025,502671
2024,502671
2023,502671
2026,645277
2025,645277
2024,645277
2023,645277
2025,670770
2024,670770
2026,679529
2025,679529
2024,679529
2023,679529
2026,682998
2025,682998
2024,682998
2025,630105
2024,630105
2026,543807
2025,543807
2024,543807
2023,543807
2026,514888
2025,514888
2024,514888
2023,514888
2026,657041
2024,657041
2023,657041
2026,607043
2025,607043
2024,607043
2023,607043
2025,686469
2024,686469
2026,661388
2025,661388
2024,661388
2023,661388
2023,518934
2023,547989
2026,606192
2025,606192
2024,606192
2023,606192
2026,592518
2025,592518
2024,592518
2023,592518
2025,643396
2024,643396
2026,656775
2025,656775
2024,656775
2026,650333
2025,650333
2024,650333
2023,650333
2026,663656
2025,663656
2024,663656
2023,663656
2025,650402
2024,650402
2023,650402
2026,656555
2025,656555
2024,656555
2025,592206
2024,592206
2023,592206
2026,592885
2025,592885
2024,592885
2024,642708
2025,595777
2024,595777
2026,572233
2025,572233
2024,572233
2023,572233
2026,672580
2025,672580
2024,672580
2023,672580
2026,593428
2025,593428
2024,593428
2023,593428
2026,668715
2025,668715
2024,668715
2023,668715
2024,623993
2023,623993
2026,664034
2025,664034
2024,664034
2023,664034
2026,521692
2025,521692
2024,521692
2023,521692
2026,608369
2025,608369
2024,608369
2026,621493
2025,621493
2024,621493
2025,467793
2024,467793
2026,668930
2025,668930
2024,668930
2026,666969
2025,666969
2024,666969
2023,666969
2024,608841
2023,608841
2026,641355
2025,641355
2024,641355
2023,641355
2026,682985
2025,682985
2024,682985
2025,596115
2026,691406
2025,691406
2026,571448
2025,571448
2024,571448
2023,571448
2025,680977
2024,680977
2026,673548
2025,673548
2024,673548
2023,673548
2026,650490
2025,650490
2024,650490
2023,650490
2026,665161
2025,665161
2024,665161
2023,665161
2026,606466
2025,606466
2024,606466
2023,606466
2025,702616
2026,643446
2025,643446
2024,643446
2026,605137
2025,605137
2024,605137
2023,605137
2026,656305
2025,656305
2024,656305
2026,691718
2025,691718
2024,691718
2025,641857
2024,641857
2023,641857
2025,593871
2024,593871
2024,657077
2026,668709
2025,668709
2024,668709
2026,670623
2025,670623
2024,670623
2023,670623
2026,671739
2025,671739
2024,671739
2023,671739
2025,621043
2024,621043
2023,621043
2026,681082
2025,681082
2024,681082
2023,681082
2025,624428
2024,624428
2025,664702
2025,663697
2024,663697
2026,691026
2025,691026
2024,691026
2026,670541
2024,670541
2026,682928
2025,682928
2024,682928
2023,682928
2026,650489
2025,650489
2024,650489
2024,502110
2026,665926
2025,665926
2024,665926
2023,665926
2026,647304
2025,647304
2024,647304
2026,664761
2025,664761
2024,664761
2023,664761
2026,547180
2025,547180
2024,547180
2023,547180
2025,671732
2024,671732
2024,457759
2023,457759
2024,600869
2024,650559
2023,650559
2024,673490
2023,673490
2024,592192
2023,592192
2026,691016
2025,691016
2026,681624
2025,681624
2024,681624
2025,502054
2024,502054
2023,502054
2026,665862
2025,665862
2024,665862
2026,643217
2025,643217
2024,643217
2026,669364
2025,669364
2024,669364
2025,673237
2024,673237
2023,673237
2025,683734
2024,683734
2026,808982
2025,808982
2023,660162
2026,664040
2025,664040
2024,664040
2023,664040
2025,669221
2024,669221
2025,666624
2024,666624
2025,663624
2024,663624
2025,694384
2024,694384
2025,686668
2024,686668
2023,686668
2026,624585
2025,624585
2024,624585
2023,624585
2024,669004
2023,669004
2025,527038
2024,527038
2023,527038
2026,687263
2025,687263
2024,687263
2025,606115
2024,606115
2023,606115
2025,642133
2024,642133
2025,665833
2024,665833
2026,676475
2025,676475
2024,676475
2025,673357
2024,673357
2023,673357
2026,686217
2025,686217
2024,686217
2026,672640
2025,672640
2024,672640
2026,701538
2025,701538
2024,701538
2026,683737
2025,683737
2024,683737
2025,669701
2024,669701
2026,571970
2025,571970
2025,666971
2024,666971
2023,666971
2026,662139
2024,662139
2025,595879
2024,595879
2023,595879
2026,694192
2025,694192
2024,694192
2026,676391
2025,676391
2024,676391
2025,687597
2024,687597
2026,678882
2025,678882
2024,678882
2024,642086
2025,682663
2025,571771
2024,571771
2025,571657
2025,663457
2024,663457
2023,621035
2025,669720
2024,669720
2023,669720
2024,453568
2025,663757
2024,663898
2024,807799
2025,457705
2024,457705
2026,696100
2025,696100
2025,519317
2024,519317
2023,519317
2026,669394
2025,669394
2024,669394
2023,669394
2025,669257
2024,669257
2023,669257
2026,680574
2025,680574
2024,519203
2025,694671
2024,694671
2026,666176
2025,666176
2024,666176
2024,592669
2025,663647
2024,663647
2025,649966
2026,678246
2025,678246
2024,592273
2023,681546
2025,663616
2024,663616
2026,663837
2024,663837
2023,663837
2024,670032
2026,575929
2025,575929
2024,575929
2024,660688
2023,660688
2026,592663
2025,592663
2024,592663
2023,592663
2026,681297
2025,681297
2024,681297
2025,573262
2024,573262
2026,545361
2025,545361
2025,690993
2024,690993
2024,594807
2024,664913
2024,621028
2026,665750
2024,665750
2023,665750
2024,570482
2024,641313
2023,641313
2024,668942
2024,608385
2026,680869
2024,680869
2023,680869
2025,545341
2024,545341
2023,545341
2026,657757
2025,657757
2024,657757
2025,672820
2024,672820
2026,656811
2025,656811
2024,656811
2026,621439
2025,621439
2024,621439
2025,672386
2024,672386
2025,650859
2024,650859
2024,642731
2023,642731
2025,500743
2024,500743
2024,641933
2025,660821
2024,660821
2026,669127
2025,669127
2024,669127
2025,700932
2026,700250
2025,700250
2025,572191
2024,572191
2026,671277
2025,671277
2024,671277
2026,686797
2025,686797
2025,516782
2024,516782
2025,553869
2024,553869
2023,553869
2026,805779
2025,805779
2026,681351
2025,681351
2024,681351
2026,696285
2025,696285
2024,696285
2024,664774
2025,656716
2024,656716
2025,663886
2024,663886
2024,592696
2026,673962
2025,673962
2025,676572
2025,676694
2024,676694
2025,578428
2024,578428
2025,687401
2024,687401
2026,702332
2025,702332
2026,805367
2025,805367
2025,666158
2024,666158
2025,680718
2025,666139
2024,666139
2025,641680
2024,641680
2025,664056
2024,664056
2024,543877
2026,664983
2024,664983
2026,701358
2025,701358
2026,643289
2025,643289
2024,643289
2025,669289
2024,669289
2025,596146
2024,596146
2023,596146
2026,701762
2025,701762
2024,650391
2023,650391
2026,657656
2025,657656
2024,657656
2025,624424
2024,624424
2024,657136
2026,682657
2025,682657
2024,669304
2026,676609
2025,676609
2024,676609
2024,657557
2024,592626
2026,669016
2025,669016
2024,669016
2024,656582
2024,596142
2025,672356
2023,672356
2025,677950
2026,693307
2025,693307
2025,670764
2025,680777
2024,680777
2026,691023
2025,691023
2023,691023
2026,669357
2025,669357
2024,669357
2025,681481
2024,681481
2023,681481
2024,622534
2026,668901
2025,668901
2024,668901
2025,687363
2025,666160
2024,666160
2025,686681
2024,686681
2025,680474
2024,680474
2025,669911
2024,669911
2024,676801
2023,676801
2026,669065
2025,669065
2024,686823
2026,670042
2024,670042
2024,676914
2025,672275
2024,672275
2026,671056
2025,671056
2024,671056
2024,456781
2024,672284
2024,642350
2025,669224
2024,669224
2025,676059
2024,676059
2026,677800
2025,677800
2024,677800
2025,669707
2024,669707
2026,686948
2025,686948
2025,665966
2025,602104
2024,602104
2024,624503
2026,677587
2025,677587
2024,677587
2026,802415
2025,802415
2025,686555
2025,664238
2024,664238
2025,669743
2026,677649
2024,677649
2025,664770
2025,807713
2024,663368
2026,683146
2025,683146
2024,641598
2023,641598
2025,691176
2025,663968
2026,671289
2025,671289
2024,671289
2024,607732
2025,518595
2024,518595
2025,664728
2024,664728
2025,672761
2024,672761
2025,666134
2026,682626
2025,682626
2024,682626
2026,682177
2025,682177
2026,666018
2025,666018
2026,608348
2025,608348
2024,608348
2024,669222
2023,543228
2025,669397
2023,669397
2026,701398
2025,666310
2024,666310
2026,805808
2025,687462
2024,687462
2025,666397
2026,693304
2025,693304
2024,693304
2024,645302
2026,802139
2024,572138
2025,621438
2024,621438
2025,700337
2026,695734
2025,695734
2026,668904
2025,668904
2024,668904
2025,643565
2024,643565
2024,686676
2025,670242
2024,681807
2026,689414
2025,689414
2025,686780
2026,805300
2024,666181
2026,665019
2025,665019
2025,605170
2026,701807
2026,681198
2026,702284
2026,672960
2024,641584
2026,695657
2026,672515
2025,672515
2024,672515
2025,620443
2025,647351
2024,647351
2026,669477
2025,669477
2025,666023
2024,666023
2024,668670
2024,679032
2024,665804
2024,676356
2025,682622
2024,682622
2024,656896
2026,807712
2025,624431
2026,695506
2024,607680
2026,641343
2024,641343
2024,595909
2026,695600
2026,691594
2025,691594
2025,663853
2026,609280
2025,609280
2024,609280
2025,666149
2024,666149
2026,681393
2025,681393
2024,681393
2025,671221
2025,643376
2024,643376
2026,663743
2024,663743
2024,672279
2025,667472
2026,800050
2025,663698
2024,663698
2024,665828
2025,681460
2024,666163
2025,543309
2024,543309
2025,700242
2025,624641
2024,624641
2026,691720
2025,686611
2024,660707
2024,608701
2026,683083
2026,803011
2026,545121
2024,545121
2026,694212
2024,669134
2024,678009
2025,691019
2026,678554
2025,678554
2025,810938
2025,695336
2026,691723
2025,691723
2025,681715
2025,656180
2026,680779
2025,680779
2026,683953
2024,663527
2026,672724
2025,672724
2025,691781
2024,660766
2024,681146
2026,668885
2024,668885
2025,642201
2026,686527
2025,686527
2026,677942
2026,694497
2025,692225
2026,808959
2026,701675
2024,543685
2026,804606
2023,687952
2025,672744
2024,676369
2025,694374
2026,805999
2025,691777
2026,669236
2025,690022
2026,703607
2024,678877
