position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,rating,team,month,Over,Under,over_book,under_book,over_rating,under_rating,pred_over,pred_under,under_diff,over_diff,under_pick,over_pick,date
2B,R,Gleyber Torres,Nick Martinez,R,1,DET,TB,away,0,3.3,DET,5,0.098,0.938,CS,CS,0.578,1.41,0.083,0.903,-0.03499999999999992,-0.015,0,0,2026-06-03
SS,L,Kevin McGonigle,Nick Martinez,R,2,DET,TB,away,0,4.48,DET,5,0.103,0.895,MGM,CS,0.76,1.612,0.111,0.881,-0.014000000000000012,0.008000000000000007,0,0,2026-06-03
DH,R,Dillon Dingler,Nick Martinez,R,3,DET,TB,away,0,3.73,DET,5,0.159,0.867,DK,CS,0.695,1.44,0.1,0.9,0.03300000000000003,-0.059,0,0,2026-06-03
RF,L,Kerry Carpenter,Nick Martinez,R,4,DET,TB,away,0,5.19,DET,5,0.19,0.846,CS,CS,0.94,1.715,0.147,0.867,0.02100000000000002,-0.04300000000000001,0,0,2026-06-03
LF,L,Riley Greene,Nick Martinez,R,5,DET,TB,away,0,4.73,DET,5,0.169,0.867,CS,CS,0.853,1.64,0.129,0.877,0.010000000000000009,-0.04000000000000001,0,0,2026-06-03
1B,R,Spencer Torkelson,Nick Martinez,R,6,DET,TB,away,0,4.01,DET,5,0.174,0.861,MGM,CS,0.749,1.491,0.109,0.895,0.03400000000000003,-0.06499999999999999,0,0,2026-06-03
3B,L,Colt Keith,Nick Martinez,R,7,DET,TB,away,0,4.34,DET,5,0.096,0.941,DK,TSB,0.733,1.621,0.106,0.88,-0.06099999999999994,0.009999999999999995,0,0,2026-06-03
CF,R,Matt Vierling,Nick Martinez,R,8,DET,TB,away,0,3.02,DET,5,0.094,0.952,DK,TSB,0.533,1.366,0.077,0.908,-0.04399999999999993,-0.017,0,0,2026-06-03
C,R,Jake Rogers,Nick Martinez,R,9,DET,TB,away,0,3.66,DET,5,0.133,0.923,DK,TSB,0.662,1.47,0.095,0.897,-0.026000000000000023,-0.038000000000000006,0,0,2026-06-03
LF,L,Chandler Simpson,Troy Melton,R,1,DET,TB,home,0,3.1,TB,5,0.043,0.98,MGM,TSB,0.502,1.404,0.073,0.904,-0.07599999999999996,0.03,0,0,2026-06-03
3B,R,Junior Caminero,Troy Melton,R,2,DET,TB,home,0,4.51,TB,5,0.235,0.8,CS,CS,0.876,1.542,0.133,0.889,0.08899999999999997,-0.10199999999999998,1,0,2026-06-03
1B,L,Jonathan Aranda,Troy Melton,R,3,DET,TB,home,0,4.87,TB,5,0.174,0.857,TSB,CS,0.878,1.66,0.134,0.875,0.018000000000000016,-0.03999999999999998,0,0,2026-06-03
DH,R,Yandy Diaz,Troy Melton,R,4,DET,TB,home,0,3.26,TB,5,0.167,0.852,MGM,CS,0.631,1.334,0.09,0.911,0.05900000000000005,-0.07700000000000001,0,0,2026-06-03
2B,L,Richie Palacios,Troy Melton,R,5,DET,TB,home,0,3.52,TB,5,0.091,0.966,TSB,TSB,0.605,1.477,0.086,0.896,-0.06999999999999995,-0.0050000000000000044,0,0,2026-06-03
SS,R,Ben Williamson,Troy Melton,R,6,DET,TB,home,0,2.77,TB,5,0.074,0.972,FD,TSB,0.478,1.332,0.07,0.911,-0.06099999999999994,-0.00399999999999999,0,0,2026-06-03
CF,L,Cedric Mullins,Troy Melton,R,7,DET,TB,home,0,3.41,TB,5,0.133,0.882,MGM,CS,0.625,1.388,0.089,0.906,0.02400000000000002,-0.04400000000000001,0,0,2026-06-03
C,R,Nick Fortes,Troy Melton,R,8,DET,TB,home,0,2.65,TB,5,0.092,0.962,DK,TSB,0.476,1.3,0.07,0.914,-0.04799999999999993,-0.021999999999999992,0,0,2026-06-03
RF,L,Victor Mesa,Troy Melton,R,9,DET,TB,home,0,3.29,TB,5,0.118,0.999,BR,MGM,0.594,1.457,0.085,0.899,-0.09999999999999998,-0.03299999999999999,0,0,2026-06-03
RF,L,Victor Mesa,Troy Melton,R,9,DET,TB,home,0,3.29,TB,5,0.108,0.941,DK,TSB,0.585,1.411,0.083,0.903,-0.03799999999999992,-0.024999999999999994,0,0,2026-06-03
LF,L,Sam Antonacci,Taj Bradley,R,1,CWS,MIN,away,1,5.01,CWS,5,0.086,0.962,DK,TSB,0.825,1.772,0.123,0.859,-0.10299999999999998,0.037000000000000005,0,0,2026-06-03
3B,R,Miguel Vargas,Taj Bradley,R,2,CWS,MIN,away,1,3.83,CWS,5,0.19,0.829,MGM,CS,0.736,1.429,0.107,0.902,0.07300000000000006,-0.083,0,0,2026-06-03
DH,L,Andrew Benintendi,Taj Bradley,R,3,CWS,MIN,away,1,5.01,CWS,5,0.143,0.875,MGM,CS,0.873,1.702,0.133,0.869,-0.006000000000000005,-0.009999999999999981,0,0,2026-06-03
SS,L,Colson Montgomery,Taj Bradley,R,4,CWS,MIN,away,1,5.39,CWS,5,0.213,0.815,DK,CS,0.99,1.73,0.159,0.865,0.050000000000000044,-0.05399999999999999,0,0,2026-06-03
2B,R,Chase Meidroth,Taj Bradley,R,5,CWS,MIN,away,1,3.08,CWS,5,0.087,0.966,BR,TSB,0.536,1.389,0.077,0.906,-0.05999999999999994,-0.009999999999999995,0,0,2026-06-03
CF,L,Tristan Peters,Taj Bradley,R,7,CWS,MIN,away,1,4.45,CWS,5,0.087,0.962,MGM,TSB,0.741,1.66,0.108,0.875,-0.08699999999999997,0.021000000000000005,0,0,2026-06-03
C,S,Drew Romo,Taj Bradley,R,8,CWS,MIN,away,1,4.09,CWS,5,0.111,0.926,CS,CS,0.708,1.559,0.102,0.887,-0.039000000000000035,-0.009000000000000008,0,0,2026-06-03
CF,R,Byron Buxton,Erick Fedde,R,1,CWS,MIN,home,1,5.11,MIN,5,0.267,0.756,BR,CS,0.993,1.627,0.16,0.879,0.123,-0.10700000000000001,0,0,2026-06-03
3B,S,Brooks Lee,Erick Fedde,R,2,CWS,MIN,home,1,4.35,MIN,5,0.123,0.933,FD,TSB,0.757,1.616,0.11,0.88,-0.05300000000000005,-0.012999999999999998,0,0,2026-06-03
LF,L,Trevor Larnach,Erick Fedde,R,3,CWS,MIN,home,1,5.25,MIN,5,0.118,0.92,CS,CS,0.888,1.786,0.136,0.857,-0.06300000000000006,0.018000000000000016,0,0,2026-06-03
DH,S,Josh Bell,Erick Fedde,R,4,CWS,MIN,home,1,4.91,MIN,5,0.167,0.867,MGM,CS,0.878,1.676,0.134,0.873,0.006000000000000005,-0.033,0,0,2026-06-03
RF,R,Austin Martin,Erick Fedde,R,5,CWS,MIN,home,1,3.3,MIN,5,0.074,0.972,MGM,TSB,0.558,1.438,0.08,0.901,-0.07099999999999995,0.006000000000000005,0,0,2026-06-03
C,S,Victor Caratini,Erick Fedde,R,6,CWS,MIN,home,1,2.35,MIN,5,0.109,0.952,FD,TSB,0.445,1.232,0.066,0.92,-0.03199999999999992,-0.043,0,0,2026-06-03
2B,R,Luke Keaschall,Erick Fedde,R,7,CWS,MIN,home,1,3.61,MIN,5,0.082,0.966,FD,TSB,0.611,1.495,0.087,0.894,-0.07199999999999995,0.0049999999999999906,0,0,2026-06-03
SS,L,Tristan Gray,Erick Fedde,R,8,CWS,MIN,home,1,4.16,MIN,5,0.141,0.895,FD,CS,0.744,1.548,0.108,0.888,-0.007000000000000006,-0.03299999999999999,0,0,2026-06-03
1B,R,Orlando Arcia,Erick Fedde,R,9,CWS,MIN,home,1,2.84,MIN,5,0.093,0.962,FD,TSB,0.505,1.338,0.073,0.911,-0.050999999999999934,-0.020000000000000004,0,0,2026-06-03
RF,L,Carson Benge,George Kirby,R,1,NYM,SEA,away,3,3.34,NYM,5,0.098,0.933,FD,CS,0.584,1.414,0.083,0.903,-0.030000000000000027,-0.015,0,0,2026-06-03
SS,R,Bo Bichette,George Kirby,R,2,NYM,SEA,away,3,2.68,NYM,5,0.1,0.931,DK,CS,0.487,1.281,0.071,0.916,-0.015000000000000013,-0.029000000000000012,0,0,2026-06-03
DH,L,Juan Soto,George Kirby,R,3,NYM,SEA,away,3,5.18,NYM,5,0.19,0.815,BR,CS,0.938,1.688,0.147,0.871,0.05600000000000005,-0.04300000000000001,0,0,2026-06-03
1B,L,Jared Young,George Kirby,R,4,NYM,SEA,away,3,3.49,NYM,5,0.116,0.913,FD,CS,0.622,1.428,0.089,0.902,-0.01100000000000001,-0.02700000000000001,0,0,2026-06-03
3B,L,Brett Baty,George Kirby,R,5,NYM,SEA,away,3,4.02,NYM,5,0.1,0.952,DK,TSB,0.688,1.566,0.099,0.886,-0.06599999999999995,-0.0010000000000000009,0,0,2026-06-03
2B,R,Marcus Semien,George Kirby,R,6,NYM,SEA,away,3,2.99,NYM,5,0.103,0.952,DK,TSB,0.536,1.36,0.077,0.908,-0.04399999999999993,-0.025999999999999995,0,0,2026-06-03
LF,L,MJ Melendez,George Kirby,R,8,NYM,SEA,away,3,3.94,NYM,5,0.143,0.896,MGM,FL,0.713,1.505,0.103,0.893,-0.0030000000000000027,-0.039999999999999994,0,0,2026-06-03
C,R,Luis Torrens,George Kirby,R,9,NYM,SEA,away,3,3.22,NYM,5,0.072,0.976,DK,TSB,0.544,1.425,0.078,0.902,-0.07399999999999995,0.006000000000000005,0,0,2026-06-03
SS,L,J.P. Crawford,Freddy Peralta,R,1,NYM,SEA,home,3,4.21,SEA,5,0.118,0.941,BR,TSB,0.732,1.595,0.106,0.883,-0.05799999999999994,-0.011999999999999997,0,0,2026-06-03
