date,home,away,over,under,player_name,batterid,team,pitcher,hr,pa,stand,p_throws,rating,pred_under,pred_over,under_diff,over_diff,new_rating,under_pick,over_pick,profit
2024-04-01,Orioles,Royals,0.105,0.941,Austin Hays,669720,Orioles,608379,0,4,R,R,3.9,0.91,0.09,-0.030999999999999917,-0.015,2.002,0,0,0.0
2024-04-01,Orioles,Royals,0.167,0.875,Gunnar Henderson,683002,Orioles,608379,0,4,L,R,6.79,0.825,0.175,-0.050000000000000044,0.00799999999999998,3.478,0,0,0.0
2024-04-01,Orioles,Royals,0.118,0.923,Ryan Mountcastle,663624,Orioles,608379,1,4,R,R,4.89,0.887,0.113,-0.03600000000000003,-0.0049999999999999906,2.504,0,0,0.0
2024-04-01,Orioles,Royals,0.118,0.923,Cedric Mullins,656775,Orioles,608379,0,4,L,R,4.98,0.884,0.116,-0.039000000000000035,-0.001999999999999988,2.549,0,0,0.0
2024-04-01,Orioles,Royals,0.125,0.917,Adley Rutschman,668939,Orioles,608379,0,4,L,R,4.89,0.886,0.114,-0.031000000000000028,-0.010999999999999996,2.508,0,0,0.0
2024-04-01,Orioles,Royals,0.182,0.867,Anthony Santander,623993,Orioles,608379,0,4,L,R,6.33,0.841,0.159,-0.026000000000000023,-0.022999999999999993,3.256,0,0,0.0
2024-04-01,Orioles,Royals,0.087,0.962,Ramon Urias,602104,Orioles,608379,0,3,R,R,3.79,0.913,0.087,-0.04899999999999993,0.0,1.938,0,0,0.0
2024-04-01,Orioles,Royals,0.108,0.933,Jordan Westburg,676059,Orioles,608379,1,4,R,R,3.56,0.917,0.083,-0.016000000000000014,-0.024999999999999994,1.834,0,0,0.0
2024-04-01,Orioles,Royals,0.118,0.923,Nelson Velazquez,676369,Royals,665152,0,4,R,R,5.06,0.882,0.118,-0.041000000000000036,0.0,2.589,0,0,0.0
2024-04-01,Orioles,Royals,0.071,0.968,Maikel Garcia,672580,Royals,665152,0,5,R,R,2.95,0.929,0.071,-0.038999999999999924,0.0,1.511,0,0,0.0
2024-04-01,Orioles,Royals,0.08,0.962,Kyle Isbel,664728,Royals,665152,0,4,L,R,4.51,0.897,0.103,-0.06499999999999995,0.022999999999999993,2.295,0,0,0.0
2024-04-01,Orioles,Royals,0.154,0.889,MJ Melendez,669004,Royals,665152,0,4,L,R,5.85,0.858,0.142,-0.031000000000000028,-0.01200000000000001,3.002,0,0,0.0
2024-04-01,Orioles,Royals,0.111,0.933,Ryan O'Hearn,656811,Orioles,608379,0,3,L,R,5.42,0.872,0.128,-0.061000000000000054,0.017,2.766,0,0,0.0
2024-04-01,Orioles,Royals,0.129,0.917,Vinnie Pasquantino,686469,Royals,665152,0,4,L,R,5.83,0.859,0.141,-0.05800000000000005,0.011999999999999983,2.98,0,0,0.0
2024-04-01,Orioles,Royals,0.133,0.909,Salvador Perez,521692,Royals,665152,1,4,R,R,4.55,0.895,0.105,-0.014000000000000012,-0.02800000000000001,2.342,0,0,0.0
2024-04-01,Orioles,Royals,0.111,0.933,Bobby Witt,677951,Royals,665152,1,5,R,R,4.58,0.895,0.105,-0.038000000000000034,-0.006000000000000005,2.346,0,0,0.0
2024-04-01,Orioles,Royals,0.103,0.941,Hunter Renfroe,592669,Royals,665152,0,4,R,R,4.22,0.903,0.097,-0.03799999999999992,-0.0059999999999999915,2.161,0,0,0.0
2024-04-01,Orioles,Royals,0.067,0.98,Adam Frazier,624428,Royals,665152,0,2,L,R,3.78,0.914,0.086,-0.06599999999999995,0.01899999999999999,1.924,0,0,0.0
2024-04-01,White Sox,Braves,0.286,0.75,Ronald Acuna,660670,Braves,623167,0,5,R,R,6.29,0.839,0.161,0.08899999999999997,-0.12499999999999997,3.288,1,0,33.33
2024-04-01,White Sox,Braves,0.217,0.833,Ozzie Albies,645277,Braves,623167,0,5,L,R,5.37,0.871,0.129,0.038000000000000034,-0.088,2.794,0,0,0.0
2024-04-01,White Sox,Braves,0.143,0.9,Orlando Arcia,606115,Braves,623167,0,4,R,R,4.28,0.901,0.099,0.0010000000000000009,-0.043999999999999984,2.212,0,0,0.0
2024-04-01,White Sox,Braves,0.19,0.857,Travis d'Arnaud,518595,Braves,623167,0,4,R,R,5.15,0.878,0.122,0.02100000000000002,-0.068,2.67,0,0,0.0
2024-04-01,White Sox,Braves,0.095,0.952,Dominic Fletcher,666150,White Sox,450203,0,3,L,R,4.59,0.895,0.105,-0.05699999999999994,0.009999999999999995,2.342,0,0,0.0
2024-04-01,White Sox,Braves,0.167,0.875,Michael Harris II,671739,Braves,623167,0,4,L,R,5.99,0.853,0.147,-0.02200000000000002,-0.020000000000000018,3.078,0,0,0.0
2024-04-01,White Sox,Braves,0.27,0.778,Matt Olson,621566,Braves,623167,0,5,L,R,7.56,0.79,0.21,0.01200000000000001,-0.060000000000000026,3.915,0,0,0.0
2024-04-01,White Sox,Braves,0.286,0.778,Marcell Ozuna,542303,Braves,623167,0,4,R,R,7.25,0.802,0.198,0.02400000000000002,-0.08799999999999997,3.768,0,0,0.0
2024-04-01,White Sox,Braves,0.263,0.778,Austin Riley,663586,Braves,623167,1,5,R,R,6.58,0.829,0.171,0.050999999999999934,-0.092,3.422,0,0,0.0
2024-04-01,White Sox,Braves,0.111,0.933,Yoan Moncada,660162,White Sox,450203,0,4,L,R,5.39,0.873,0.127,-0.06000000000000005,0.016,2.75,0,0,0.0
2024-04-01,White Sox,Braves,0.19,0.857,Luis Robert,673357,White Sox,450203,0,4,R,R,6.1,0.849,0.151,-0.008000000000000007,-0.03900000000000001,3.145,0,0,0.0
2024-04-01,White Sox,Braves,0.121,0.923,Gavin Sheets,657757,White Sox,450203,0,3,L,R,5.1,0.881,0.119,-0.04200000000000004,-0.0020000000000000018,2.61,0,0,0.0
2024-04-01,White Sox,Braves,0.143,0.9,Andrew Vaughn,683734,White Sox,450203,0,3,R,R,3.67,0.914,0.086,0.014000000000000012,-0.056999999999999995,1.906,0,0,0.0
2024-04-01,White Sox,Braves,0.054,0.99,Nicky Lopez,670032,White Sox,450203,0,3,L,R,3.75,0.915,0.085,-0.07499999999999996,0.031000000000000007,1.902,0,0,0.0
2024-04-01,White Sox,Braves,0.1,0.941,Martin Maldonado,455117,White Sox,450203,0,3,R,R,3.88,0.911,0.089,-0.029999999999999916,-0.01100000000000001,1.99,0,0,0.0
2024-04-01,White Sox,Braves,0.083,0.962,Andrew Benintendi,643217,White Sox,450203,0,4,L,R,3.76,0.914,0.086,-0.04799999999999993,0.002999999999999989,1.922,0,0,0.0
2024-04-01,White Sox,Braves,0.114,0.933,Paul DeJong,657557,White Sox,450203,0,3,R,R,4.44,0.898,0.102,-0.03500000000000003,-0.01200000000000001,2.277,0,0,0.0
2024-04-01,White Sox,Braves,0.154,0.889,Jarred Kelenic,672284,Braves,623167,0,4,L,R,6.46,0.837,0.163,-0.052000000000000046,0.009000000000000008,3.307,0,0,0.0
2024-04-01,Astros,Blue Jays,0.217,0.833,Daulton Varsho,662139,Blue Jays,669854,0,3,L,R,4.74,0.888,0.112,0.05500000000000005,-0.105,2.478,0,0,0.0
2024-04-01,Astros,Blue Jays,0.167,0.875,Jose Abreu,547989,Astros,670102,0,4,R,R,3.94,0.908,0.092,0.03300000000000003,-0.07500000000000001,2.054,0,0,0.0
2024-04-01,Astros,Blue Jays,0.087,0.962,Ernie Clement,676391,Blue Jays,669854,0,3,R,R,3.88,0.911,0.089,-0.050999999999999934,0.0020000000000000018,1.984,0,0,0.0
2024-04-01,Astros,Blue Jays,0.182,0.867,Jose Altuve,514888,Astros,670102,0,4,R,R,4.06,0.905,0.095,0.038000000000000034,-0.087,2.121,0,0,0.0
2024-04-01,Astros,Blue Jays,0.333,0.714,Yordan Alvarez,670541,Astros,670102,0,4,L,R,5.86,0.852,0.148,0.138,-0.18500000000000003,3.097,1,0,40.06
2024-04-01,Astros,Blue Jays,0.167,0.882,Alex Bregman,608324,Astros,670102,0,4,R,R,3.39,0.919,0.081,0.03700000000000003,-0.08600000000000001,1.778,0,0,0.0
2024-04-01,Astros,Blue Jays,0.211,0.833,Yainer Diaz,673237,Astros,670102,1,4,R,R,3.89,0.908,0.092,0.07500000000000007,-0.119,2.05,1,0,-100.0
2024-04-01,Astros,Blue Jays,0.148,0.889,Chas McCormick,676801,Astros,670102,0,4,R,R,4.19,0.903,0.097,0.014000000000000012,-0.05099999999999999,2.169,0,0,0.0
2024-04-01,Astros,Blue Jays,0.118,0.923,Jake Meyers,676694,Astros,670102,0,4,R,R,3.25,0.923,0.077,0.0,-0.040999999999999995,1.684,0,0,0.0
2024-04-01,Astros,Blue Jays,0.125,0.917,Jeremy Pena,665161,Astros,670102,1,4,R,R,3.18,0.924,0.076,0.007000000000000006,-0.049,1.652,0,0,0.0
2024-04-01,Astros,Blue Jays,0.211,0.833,Kyle Tucker,663656,Astros,670102,1,4,L,R,4.17,0.902,0.098,0.06900000000000006,-0.11299999999999999,2.19,0,0,0.0
2024-04-01,Astros,Blue Jays,0.174,0.875,Justin Turner,457759,Blue Jays,669854,0,3,R,R,3.6,0.915,0.085,0.040000000000000036,-0.08899999999999998,1.887,0,0,0.0
2024-04-01,Astros,Blue Jays,0.087,0.962,Isiah Kiner-Falefa,643396,Blue Jays,669854,0,3,R,R,2.73,0.933,0.067,-0.028999999999999915,-0.01999999999999999,1.408,0,0,0.0
2024-04-01,Astros,Blue Jays,0.133,0.917,Kevin Kiermaier,595281,Blue Jays,669854,0,3,L,R,3.7,0.914,0.086,-0.0030000000000000027,-0.047000000000000014,1.916,0,0,0.0
2024-04-01,Astros,Blue Jays,0.114,0.933,Cavan Biggio,624415,Blue Jays,669854,0,3,L,R,4.16,0.905,0.095,-0.028000000000000025,-0.019000000000000003,2.137,0,0,0.0
2024-04-01,Astros,Blue Jays,0.227,0.818,Vladimir Guerrero,665489,Blue Jays,669854,0,4,R,R,4.5,0.894,0.106,0.07600000000000007,-0.12100000000000001,2.364,1,0,22.25
2024-04-01,Astros,Blue Jays,0.129,0.917,Alejandro Kirk,672386,Blue Jays,669854,0,3,R,R,3.48,0.918,0.082,0.0010000000000000009,-0.047,1.804,0,0,0.0
