name,playerid
"Duran, Jarren",680776
"Lindor, Francisco",596019
"Ohtani, Shohei",660271
"Devers, Rafael",646240
"Olson, Matt",621566
"Schwarber, Kyle",656941
"Perdomo, Geraldo",672695
"Henderson, Gunnar",683002
"Semien, Marcus",543760
"Soto, Juan",665742
"Rodriguez, Julio",677594
"Alonso, Pete",624413
"Arozarena, Randy",668227
"Witt, Bobby",677951
"Raleigh, Cal",663728
"Judge, Aaron",592450
"Rooker, Brent",667670
"De La Cruz, Elly",682829
"Guerrero, Vladimir",665489
"Tovar, Ezequiel",678662
"Ramos, Heliot",671218
"Kwan, Steven",680757
"Reynolds, Bryan",668804
"Tatis, Fernando",665487
"Wood, James",695578
"Volpe, Anthony",683011
"Ozuna, Marcell",542303
"Adames, Willy",642715
"Friedl, TJ",670770
"Carroll, Corbin",682998
"Pasquantino, Vinnie",686469
"Ramirez, Jose",608070
"Altuve, Jose",514888
"Contreras, William",661388
"Machado, Manny",592518
"Arraez, Luis",650333
"Profar, Jurickson",595777
"Albies, Ozzie",645277
"Garcia, Maikel",672580
"Santander, Anthony",623993
"Torres, Gleyber",650402
"Ward, Taylor",621493
"Nimmo, Brandon",607043
"Betts, Mookie",605141
"Happ, Ian",664023
"Turang, Brice",668930
"Castellanos, Nick",592206
"Suarez, Eugenio",553993
"Steer, Spencer",668715
"Bellinger, Cody",641355
"Cronenworth, Jake",630105
"Greene, Riley",682985
"Goldschmidt, Paul",502671
"Story, Trevor",596115
"Crawford, J.P.",641487
"Caminero, Junior",691406
"Hernandez, Teoscar",606192
"Donovan, Brendan",680977
"Perez, Salvador",521692
"Diaz, Yandy",650490
"Suzuki, Seiya",673548
"Pena, Jeremy",665161
"Hoerner, Nico",663538
"Holliday, Jackson",702616
"Torkelson, Spencer",679529
"Chapman, Matt",656305
"Crow-Armstrong, Pete",691718
"Swanson, Dansby",621020
"McMahon, Ryan",641857
"Yelich, Christian",592885
"Bleday, JJ",668709
"Harris II, Michael",671739
"Paredes, Isaac",670623
"Walker, Christian",572233
"Turner, Trea",607208
"Freeman, Freddie",518692
"Rutschman, Adley",668939
"Garcia, Adolis",666969
"India, Jonathan",663697
"Winn, Masyn",691026
"Castro, Willi",650489
"Abrams, CJ",682928
"Arenado, Nolan",571448
"Alvarez, Yordan",670541
"Bregman, Alex",608324
"Naylor, Josh",647304
"Gimenez, Andres",665926
"Harper, Bryce",547180
"Butler, Lawrence",671732
"Bichette, Bo",666182
"Pages, Andy",681624
"Soderstrom, Tyler",691016
"De La Cruz, Bryan",650559
"Verdugo, Alex",657077
"Chisholm, Jazz",665862
"Vaughn, Andrew",683734
"Diaz, Yainer",673237
"Edwards, Xavier",669364
"Lee, Jung Hoo",808982
"Springer, George",543807
"Morel, Christopher",666624
"Lowe, Nathaniel",663993
"Schanuel, Nolan",694384
"Bohm, Alec",664761
"Doyle, Brenton",686668
"Bell, Josh",605137
"Neto, Zach",687263
"Arcia, Orlando",606115
"Cruz, Oneil",665833
"Tucker, Kyle",663656
"Burleson, Alec",676475
"Lopez, Otto",672640
"Frelick, Sal",686217
"Santana, Carlos",467793
"Merrill, Jackson",701538
"Busch, Michael",683737
"Smith, Josh",669701
"Chourio, Jackson",694192
"Clement, Ernie",676391
"Beck, Jordan",687597
"Rafaela, Ceddanne",678882
"Ramirez, Agustin",682663
"Correa, Carlos",621043
"Marte, Ketel",606466
