"last_name, first_name","player_id","year","pa"
"Hunter, Torii",116338,2015,567
"Ortiz, David",120074,2015,614
"Rodriguez, Alex",121347,2015,620
"Ramirez, Aramis",133380,2015,516
"Beltré, Adrian",134181,2015,619
"Beltrán, Carlos",136860,2015,531
"Werth, Jayson",150029,2015,378
"Cuddyer, Michael",150212,2015,408
"Pierzynski, A.J.",150229,2015,436
"Rollins, Jimmy",276519,2015,563
"Uribe, Juan",346874,2015,397
"Suzuki, Ichiro",400085,2015,438
"Martinez, Victor",400121,2015,485
"Utley, Chase",400284,2015,423
"Pujols, Albert",405395,2015,661
"Byrd, Marlon",407781,2015,544
"Holliday, Matt",407812,2015,277
"Teixeira, Mark",407893,2015,462
"Mauer, Joe",408045,2015,666
"Cabrera, Miguel",408234,2015,511
"González, Adrián",408236,2015,642
"Phillips, Brandon",408252,2015,623
"Infante, Omar",408299,2015,455
"Reyes, José",408314,2015,519
"Peralta, Jhonny",425509,2015,640
"Barmes, Clint",425549,2015,224
"LaRoche, Adam",425560,2015,484
"Rios, Alex",425567,2015,411
"Victorino, Shane",425664,2015,204
"Loney, James",425766,2015,388
"Choo, Shin-Soo",425783,2015,653
"Rivera, René",425784,2015,319
"Francoeur, Jeff",425796,2015,343
"Upton, B.J.",425834,2015,228
"Molina, Yadier",425877,2015,530
"Fielder, Prince",425902,2015,693
"Canó, Robinson",429664,2015,674
"Encarnación, Edwin",429665,2015,624
"Hardy, J.J.",429666,2015,437
"Howard, Ryan",429667,2015,502
"Sizemore, Grady",429713,2015,296
"DeJesus, David",430203,2015,317
"Gomes, Jonny",430404,2015,262
"Raburn, Ryan",430605,2015,201
"Johnson, Kelly",430637,2015,335
"Bourgeois, Jason",430652,2015,212
"Bautista, José",430832,2015,666
"Swisher, Nick",430897,2015,260
"Peña, Brayan",430910,2015,367
"Jones, Adam",430945,2015,581
"Aybar, Erick",430947,2015,638
"Callaspo, Alberto",430948,2015,261
"Hill, Aaron",431094,2015,353
"Martin, Russell",431145,2015,507
"McGehee, Casey",431171,2015,258
"Blanco, Andrés",433217,2015,261
"Granderson, Curtis",434158,2015,682
"Ruiz, Carlos",434563,2015,320
"Soto, Geovany",434567,2015,210
"Morse, Michael",434604,2015,256
"Pagán, Ángel",434636,2015,551
"Davis, Rajai",434658,2015,370
"Ramirez, Hanley",434670,2015,430
"Morales, Kendrys",434778,2015,639
"Kendrick, Howie",435062,2015,495
"Napoli, Mike",435063,2015,469
"Kinsler, Ian",435079,2015,675
"McCann, Brian",435263,2015,535
"Schumaker, Skip",435401,2015,268
"Walker, Neil",435522,2015,603
"Suzuki, Kurt",435559,2015,479
"Desmond, Ian",435622,2015,641
"Cruz, Nelson",443558,2015,655
"Jaso, John",444379,2015,216
"Trumbo, Mark",444432,2015,545
"Peralta, David",444482,2015,517
"Ethier, Andre",444843,2015,445
"Escobar, Alcides",444876,2015,662
"Jay, Jon",445055,2015,245
"Prado, Martín",445988,2015,551
"Duda, Lucas",446263,2015,554
"Wieters, Matt",446308,2015,282
"Longoria, Evan",446334,2015,670
"Cozart, Zack",446359,2015,214
"Guyer, Brandon",446386,2015,385
"Rodríguez, Sean",446481,2015,240
"Reynolds, Mark",448602,2015,432
"Davis, Chris",448801,2015,670
"Aviles, Mike",449107,2015,317
"Orlando, Paulo",449181,2015,251
"Zobrist, Ben",450314,2015,535
"Peterson, Shane",451089,2015,225
"Fowler, Dexter",451594,2015,690
"Flowers, Tyler",452095,2015,361
"Headley, Chase",452104,2015,642
"Drew, Stephen",452220,2015,428
"Smith, Seth",452234,2015,452
"Maxwell, Justin",452239,2015,274
"Lind, Adam",452252,2015,572
"Pence, Hunter",452254,2015,223
"Span, Denard",452655,2015,275
"Hanigan, Ryan",452672,2015,200
"Cabrera, Asdrúbal",452678,2015,551
"Ellsbury, Jacoby",453056,2015,499
"Tulowitzki, Troy",453064,2015,534
"Johnson, Chris",453400,2015,255
"Fuld, Sam",453539,2015,325
"Blackmon, Charlie",453568,2015,682
"Blanco, Grégor",453923,2015,372
"Frazier, Todd",453943,2015,678
"Ellis, A.J.",454560,2015,217
"Iannetta, Chris",455104,2015,317
"Maldonado, Martín",455117,2015,256
"Chirinos, Robinson",455139,2015,273
"Young, Chris",455759,2015,356
"Markakis, Nick",455976,2015,686
"Pedroia, Dustin",456030,2015,425
"Castillo, Welington",456078,2015,378
"Denorfia, Chris",456121,2015,231
"Bourn, Michael",456422,2015,482
"Núñez, Eduardo",456488,2015,204
"Pearce, Steve",456665,2015,325
"Butler, Billy",456714,2015,601
"Cain, Lorenzo",456715,2015,604
"Saltalamacchia, Jarrod",457454,2015,227
"De Aza, Alejandro",457477,2015,365
"McCutchen, Andrew",457705,2015,685
"Jackson, Austin",457706,2015,527
"Upton, Justin",457708,2015,619
"Maybin, Cameron",457727,2015,555
"Turner, Justin",457759,2015,439
"Posey, Buster",457763,2015,623
"Espinosa, Danny",457787,2015,412
"Bruce, Jay",457803,2015,649
"Votto, Joey",458015,2015,695
"Coghlan, Chris",458085,2015,503
"Rasmus, Colby",458675,2015,485
"Gardner, Brett",458731,2015,656
"Joyce, Matt",459964,2015,284
"Hundley, Nick",460026,2015,389
"Pennington, Cliff",460060,2015,249
"Braun, Ryan",460075,2015,567
"Gordon, Alex",460086,2015,422
"Gómez, Carlos",460576,2015,477
"Moss, Brandon",461235,2015,526
"Kemp, Matt",461314,2015,648
"Venable, Will",461416,2015,390
"Murphy, David",461815,2015,388
"Plouffe, Trevor",461858,2015,632
"Romine, Andrew",461865,2015,203
"Andrus, Elvis",462101,2015,661
"Cervelli, Francisco",465041,2015,510
"Cabrera, Melky",466320,2015,683
"Sandoval, Pablo",467055,2015,505
"Herrera, Elian",467070,2015,277
"Ramos, Wilson",467092,2015,504
"Santana, Carlos",467793,2015,666
"Parra, Gerardo",467827,2015,589
"Montero, Miguel",471083,2015,403
"González, Carlos",471865,2015,608
"Valbuena, Luis",472528,2015,493
"Conger, Hank",474233,2015,229
"De Jesús Jr., Iván",474443,2015,222
"Mercer, Jordy",474568,2015,430
"Belt, Brandon",474832,2015,556
"Carter, Chris",474892,2015,459
"Van Slyke, Scott",475100,2015,253
"Alonso, Yonder",475174,2015,402
"Flaherty, Ryan",475247,2015,301
"Smoak, Justin",475253,2015,328
"Zimmerman, Ryan",475582,2015,390
"Lowrie, Jed",476704,2015,263
"Álvarez, Pedro",476883,2015,491
"Davis, Ike",477195,2015,239
"Avila, Alex",488671,2015,219
"Barnes, Brandon",488681,2015,281
"Bourjos, Peter",488721,2015,225
"Brantley, Michael",488726,2015,596
"Castro, Jason",488771,2015,375
"Escobar, Yunel",488862,2015,591
"Moore, Tyler",489138,2015,200
"Morrison, Logan",489149,2015,511
"Aoki, Norichika",493114,2015,392
"Cespedes, Yoenis",493316,2015,676
"Ramirez, Alexei",493351,2015,622
"Campbell, Eric",493472,2015,206
"Beckham, Gordon",493596,2015,237
"Colabello, Chris",499624,2015,360
"Solarte, Yangervis",500208,2015,571
"Escobar, Eduardo",500871,2015,446
"Lagares, Juan",501571,2015,465
"Rosario, Wilin",501647,2015,242
"Almonte, Abraham",501659,2015,258
"Freese, David",501896,2015,470
"Davis, Khris",501981,2015,440
"Snider, Travis",501983,2015,265
"Chisenhall, Lonnie",502082,2015,362
"Martinez, J.D.",502110,2015,657
"Brown, Domonic",502126,2015,204
"Valencia, Danny",502143,2015,378
"Reddick, Josh",502210,2015,579
"Dyson, Jarrod",502481,2015,225
"Murphy, Daniel",502517,2015,538
"Goldschmidt, Paul",502671,2015,694
"Gonzalez, Marwin",503556,2015,370
"Amarista, Alexi",506560,2015,357
"Altuve, Jose",514888,2015,689
"Tejada, Rubén",514913,2015,407
"Hernández, César",514917,2015,452
"Segura, Jean",516416,2015,584
"Castro, Starlin",516770,2015,578
"Marte, Starling",516782,2015,633
"Paredes, Jimmy",517370,2015,384
"d'Arnaud, Travis",518595,2015,268
"Descalso, Daniel",518614,2015,209
"Dietrich, Derek",518618,2015,289
"Donaldson, Josh",518626,2015,711
"Freeman, Freddie",518692,2015,481
"Grandal, Yasmani",518735,2015,426
"Heyward, Jason",518792,2015,608
"LeMahieu, DJ",518934,2015,620
"Lucroy, Jonathan",518960,2015,415
"Middlebrooks, Will",519025,2015,270
"Moreland, Mitch",519048,2015,515
"Moustakas, Mike",519058,2015,614
"Norris, Derek",519083,2015,557
"Revere, Ben",519184,2015,634
"Rizzo, Anthony",519203,2015,701
"Robinson, Clint",519208,2015,352
"Rupp, Cameron",519237,2015,299
"Sogard, Eric",519299,2015,401
"Souza Jr., Steven",519306,2015,426
"Stanton, Giancarlo",519317,2015,318
"Vogt, Stephen",519390,2015,511
"Galvis, Freddy",520471,2015,603
"Perez, Salvador",521692,2015,553
"Forsythe, Logan",523253,2015,615
"Flores, Wilmer",527038,2015,510
"García, Avisaíl",541645,2015,601
"Pérez, Hernán",541650,2015,272
"Pérez, Carlos",542208,2015,283
"Inciarte, Ender",542255,2015,561
"Ozuna, Marcell",542303,2015,494
"Santana, Danny",542454,2015,277
"Beckham, Tim",542921,2015,223
"Burns, Billy",542993,2015,555
"Butler, Joey",542994,2015,276
"Crawford, Brandon",543063,2015,561
"Cron, C.J.",543068,2015,403
"Giavotella, Johnny",543213,2015,502
"Gillaspie, Conor",543216,2015,253
"Gomes, Yan",543228,2015,389
"Gose, Anthony",543238,2015,535
"Harrison, Josh",543281,2015,449
"Hicks, Aaron",543305,2015,390
"Hosmer, Eric",543333,2015,667
"Joseph, Caleb",543376,2015,354
"Kipnis, Jason",543401,2015,641
"Lawrie, Brett",543434,2015,602
"McCann, James",543510,2015,425
"Miller, Brad",543543,2015,497
"Rendon, Anthony",543685,2015,355
"Semien, Marcus",543760,2015,601
"Shaw, Travis",543768,2015,248
"Springer, George",543807,2015,451
"Strange-Gordon, Dee",543829,2015,653
"Wong, Kolten",543939,2015,613
"Gregorius, Didi",544369,2015,578
"Grichuk, Randal",545341,2015,350
"Marisnick, Jake",545350,2015,372
"Trout, Mike",545361,2015,682
"Herrera, Odúbel",546318,2015,537
"Harper, Bryce",547180,2015,654
"Pérez, Roberto",547379,2015,226
"Martin, Leonys",547982,2015,310
"Abreu, José",547989,2015,668
"Suárez, Eugenio",553993,2015,398
"Ackley, Dustin",554429,2015,264
"Polanco, Gregory",570256,2015,652
"Urshela, Gio",570482,2015,288
"Sánchez, Yolmer",570560,2015,420
"Schoop, Jonathan",570731,2015,321
"Arenado, Nolan",571448,2015,665
"Barnhart, Tucker",571466,2015,274
"Bour, Justin",571506,2015,446
"Gennett, Scooter",571697,2015,391
"Hamilton, Billy",571740,2015,454
"Hernández, Enrique",571771,2015,218
"Holt, Brock",571788,2015,509
"Lamb, Jake",571875,2015,390
"Myers, Wil",571976,2015,253
"Owings, Chris",572008,2015,552
