date,home,away,over,under,player_name,batterid,team,pitcher,hr,pa,stand,p_throws
2024-04-01,Orioles,Royals,0.105,0.941,Austin Hays,669720,Orioles,608379,0,4,R,R
2024-04-01,Orioles,Royals,0.167,0.875,Gunnar Henderson,683002,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.118,0.923,Ryan Mountcastle,663624,Orioles,608379,1,4,R,R
2024-04-01,Orioles,Royals,0.118,0.923,Cedric Mullins,656775,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.125,0.917,Adley Rutschman,668939,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.182,0.867,Anthony Santander,623993,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.087,0.962,Ramon Urias,602104,Orioles,608379,0,3,R,R
2024-04-01,Orioles,Royals,0.108,0.933,Jordan Westburg,676059,Orioles,608379,1,4,R,R
2024-04-01,Orioles,Royals,0.118,0.923,Nelson Velazquez,676369,Royals,665152,0,4,R,R
2024-04-01,Orioles,Royals,0.071,0.968,Maikel Garcia,672580,Royals,665152,0,5,R,R
2024-04-01,Orioles,Royals,0.08,0.962,Kyle Isbel,664728,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.154,0.889,MJ Melendez,669004,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.111,0.933,Ryan O'Hearn,656811,Orioles,608379,0,3,L,R
2024-04-01,Orioles,Royals,0.129,0.917,Vinnie Pasquantino,686469,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.133,0.909,Salvador Perez,521692,Royals,665152,1,4,R,R
2024-04-01,Orioles,Royals,0.111,0.933,Bobby Witt,677951,Royals,665152,1,5,R,R
2024-04-01,Orioles,Royals,0.103,0.941,Hunter Renfroe,592669,Royals,665152,0,4,R,R
2024-04-01,Orioles,Royals,0.067,0.98,Adam Frazier,624428,Royals,665152,0,2,L,R
2024-04-01,White Sox,Braves,0.286,0.75,Ronald Acuna,660670,Braves,623167,0,5,R,R
2024-04-01,White Sox,Braves,0.217,0.833,Ozzie Albies,645277,Braves,623167,0,5,L,R
2024-04-01,White Sox,Braves,0.143,0.9,Orlando Arcia,606115,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.19,0.857,Travis d'Arnaud,518595,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.095,0.952,Dominic Fletcher,666150,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.167,0.875,Michael Harris II,671739,Braves,623167,0,4,L,R
2024-04-01,White Sox,Braves,0.27,0.778,Matt Olson,621566,Braves,623167,0,5,L,R
2024-04-01,White Sox,Braves,0.286,0.778,Marcell Ozuna,542303,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.263,0.778,Austin Riley,663586,Braves,623167,1,5,R,R
2024-04-01,White Sox,Braves,0.111,0.933,Yoan Moncada,660162,White Sox,450203,0,4,L,R
2024-04-01,White Sox,Braves,0.19,0.857,Luis Robert,673357,White Sox,450203,0,4,R,R
2024-04-01,White Sox,Braves,0.121,0.923,Gavin Sheets,657757,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.143,0.9,Andrew Vaughn,683734,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.054,0.99,Nicky Lopez,670032,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.1,0.941,Martin Maldonado,455117,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.083,0.962,Andrew Benintendi,643217,White Sox,450203,0,4,L,R
2024-04-01,White Sox,Braves,0.114,0.933,Paul DeJong,657557,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.154,0.889,Jarred Kelenic,672284,Braves,623167,0,4,L,R
2024-04-01,Astros,Blue Jays,0.217,0.833,Daulton Varsho,662139,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.167,0.875,Jose Abreu,547989,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.087,0.962,Ernie Clement,676391,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.182,0.867,Jose Altuve,514888,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.333,0.714,Yordan Alvarez,670541,Astros,670102,0,4,L,R
2024-04-01,Astros,Blue Jays,0.167,0.882,Alex Bregman,608324,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.211,0.833,Yainer Diaz,673237,Astros,670102,1,4,R,R
2024-04-01,Astros,Blue Jays,0.148,0.889,Chas McCormick,676801,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.118,0.923,Jake Meyers,676694,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.125,0.917,Jeremy Pena,665161,Astros,670102,1,4,R,R
2024-04-01,Astros,Blue Jays,0.211,0.833,Kyle Tucker,663656,Astros,670102,1,4,L,R
2024-04-01,Astros,Blue Jays,0.174,0.875,Justin Turner,457759,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.087,0.962,Isiah Kiner-Falefa,643396,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.133,0.917,Kevin Kiermaier,595281,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.114,0.933,Cavan Biggio,624415,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.227,0.818,Vladimir Guerrero,665489,Blue Jays,669854,0,4,R,R
2024-04-01,Astros,Blue Jays,0.129,0.917,Alejandro Kirk,672386,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.16,0.882,George Springer,543807,Blue Jays,669854,0,4,R,R
2024-04-01,Cubs,Rockies,0.114,0.933,Dansby Swanson,621020,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.08,0.968,Yan Gomes,543228,Cubs,641712,0,3,R,R
2024-04-01,Cubs,Rockies,0.111,0.933,Ian Happ,664023,Cubs,641712,0,4,L,R
2024-04-01,Cubs,Rockies,0.061,0.99,Nico Hoerner,663538,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.133,0.909,Christopher Morel,666624,Cubs,641712,0,3,R,R
2024-04-01,Cubs,Rockies,0.095,0.952,Seiya Suzuki,673548,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.08,0.962,Charlie Blackmon,453568,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.138,0.909,Kris Bryant,592178,Rockies,684007,0,4,R,L
2024-04-01,Cubs,Rockies,0.114,0.933,Elias Diaz,553869,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.087,0.962,Brenton Doyle,686668,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.1,0.952,Nolan Jones,666134,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.087,0.962,Ryan McMahon,641857,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.111,0.933,Elehuris Montero,660707,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.091,0.952,Brendan Rodgers,663898,Rockies,684007,0,4,R,L
2024-04-01,Cubs,Rockies,0.095,0.952,Ezequiel Tovar,678662,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.118,0.923,Cody Bellinger,641355,Cubs,641712,0,4,L,R
