diff_threshold,pred_hr_threshold,num_picks,wins,losses,win_rate,total_profit,total_wagered,roi,avg_profit_per_pick,profit_per_day,weight
0.02,0.12,655.0,163.0,492.0,24.89,402.54,6550.0,6.15,0.61,1.4,
0.02,0.12,655.0,163.0,492.0,24.89,402.54,6550.0,6.15,0.61,1.4,5.0
0.025,0.12,921.0,209.0,712.0,22.69,1237.7,9210.0,13.44,1.34,4.07,
0.025,0.12,921.0,209.0,712.0,22.69,1237.7,9210.0,13.44,1.34,4.07,10.0
0.035,0.1,800.0,163.0,637.0,20.38,967.59,8000.0,12.09,1.21,3.42,
0.035,0.1,800.0,163.0,637.0,20.38,967.59,8000.0,12.09,1.21,3.42,15.0
0.035,0.12,756.0,160.0,596.0,21.16,1021.82,7560.0,13.52,1.35,3.61,
0.035,0.12,756.0,160.0,596.0,21.16,1021.82,7560.0,13.52,1.35,3.61,20.0
0.04,0.1,723.0,139.0,584.0,19.23,813.47,7230.0,11.25,1.13,3.02,
0.04,0.12,616.0,126.0,490.0,20.45,700.7,6160.0,11.37,1.14,2.71,25.0
0.04,0.1,753.0,140.0,613.0,18.59,663.25,7530.0,8.81,0.88,2.43,
0.04,0.12,631.0,126.0,505.0,19.97,615.73,6310.0,9.76,0.98,2.34,30.0
0.04,0.1,764.0,142.0,622.0,18.59,728.49,7640.0,9.54,0.95,2.67,
0.04,0.12,639.0,128.0,511.0,20.03,710.97,6390.0,11.13,1.11,2.69,35.0
0.045,0.1,609.0,118.0,491.0,19.38,813.63,6090.0,13.36,1.34,3.17,
0.045,0.12,510.0,106.0,404.0,20.78,705.61,5100.0,13.84,1.38,2.92,40.0
0.045,0.1,614.0,116.0,498.0,18.89,758.91,6140.0,12.36,1.24,2.96,
0.045,0.1,614.0,116.0,498.0,18.89,758.91,6140.0,12.36,1.24,2.96,45.0
0.045,0.1,619.0,116.0,503.0,18.74,748.37,6190.0,12.09,1.21,2.92,
0.045,0.1,619.0,116.0,503.0,18.74,748.37,6190.0,12.09,1.21,2.92,50.0
0.045,0.1,630.0,118.0,512.0,18.73,850.05,6300.0,13.49,1.35,3.32,
0.045,0.12,518.0,105.0,413.0,20.27,787.28,5180.0,15.2,1.52,3.28,55.0
0.045,0.1,631.0,118.0,513.0,18.7,840.05,6310.0,13.31,1.33,3.28,
0.045,0.12,518.0,105.0,413.0,20.27,787.28,5180.0,15.2,1.52,3.28,60.0
0.045,0.1,639.0,120.0,519.0,18.78,962.71,6390.0,15.07,1.51,3.76,
0.045,0.12,522.0,106.0,416.0,20.31,865.19,5220.0,16.57,1.66,3.58,65.0
0.045,0.1,643.0,120.0,523.0,18.66,948.17,6430.0,14.75,1.47,3.7,
0.045,0.12,524.0,106.0,418.0,20.23,870.65,5240.0,16.62,1.66,3.6,70.0
0.045,0.1,649.0,120.0,529.0,18.49,888.17,6490.0,13.69,1.37,3.47,
0.045,0.12,530.0,106.0,424.0,20.0,810.65,5300.0,15.3,1.53,3.35,75.0
0.045,0.1,651.0,120.0,531.0,18.43,868.17,6510.0,13.34,1.33,3.38,
0.045,0.12,532.0,106.0,426.0,19.92,790.65,5320.0,14.86,1.49,3.25,80.0
0.045,0.1,654.0,120.0,534.0,18.35,838.17,6540.0,12.82,1.28,3.25,
0.045,0.12,534.0,106.0,428.0,19.85,770.65,5340.0,14.43,1.44,3.17,85.0
0.045,0.1,655.0,120.0,535.0,18.32,828.17,6550.0,12.64,1.26,3.21,
0.045,0.12,534.0,106.0,428.0,19.85,770.65,5340.0,14.43,1.44,3.17,90.0
0.045,0.1,656.0,120.0,536.0,18.29,818.17,6560.0,12.47,1.25,3.17,
0.045,0.12,535.0,106.0,429.0,19.81,760.65,5350.0,14.22,1.42,3.13,95.0
