diff_threshold,pred_hr_threshold,num_picks,wins,losses,win_rate,total_profit,total_wagered,roi,avg_profit_per_pick,profit_per_day,weight
0.075,0.8,696.0,553.0,143.0,79.45,-47.5,6960.0,-0.68,-0.07,-0.16,5.0
0.075,0.8,696.0,553.0,143.0,79.45,-47.5,6960.0,-0.68,-0.07,-0.16,5.0
0.045,0.84,676.0,587.0,89.0,86.83,126.46,6760.0,1.87,0.19,0.47,10.0
0.045,0.84,676.0,587.0,89.0,86.83,126.46,6760.0,1.87,0.19,0.47,10.0
0.04,0.84,961.0,832.0,129.0,86.58,103.64,9610.0,1.08,0.11,0.35,15.0
0.045,0.84,645.0,560.0,85.0,86.82,99.39,6450.0,1.54,0.15,0.39,15.0
0.04,0.84,883.0,770.0,113.0,87.2,153.57,8830.0,1.74,0.17,0.53,20.0
0.045,0.84,576.0,502.0,74.0,87.15,108.03,5760.0,1.88,0.19,0.45,20.0
0.035,0.84,1218.0,1057.0,161.0,86.78,115.96,12180.0,0.95,0.1,0.38,25.0
0.045,0.84,524.0,458.0,66.0,87.4,110.04,5240.0,2.1,0.21,0.48,25.0
0.035,0.84,1158.0,1005.0,153.0,86.79,107.81,11580.0,0.93,0.09,0.36,30.0
0.045,0.84,504.0,440.0,64.0,87.3,98.27,5040.0,1.95,0.19,0.43,30.0
0.04,0.84,744.0,648.0,96.0,87.1,113.78,7440.0,1.53,0.15,0.43,35.0
0.04,0.84,744.0,648.0,96.0,87.1,113.78,7440.0,1.53,0.15,0.43,35.0
0.035,0.84,1087.0,946.0,141.0,87.03,131.39,10870.0,1.21,0.12,0.44,40.0
0.04,0.84,715.0,621.0,94.0,86.85,88.5,7150.0,1.24,0.12,0.34,40.0
0.035,0.84,1073.0,934.0,139.0,87.05,130.64,10730.0,1.22,0.12,0.44,45.0
0.035,0.84,1073.0,934.0,139.0,87.05,130.64,10730.0,1.22,0.12,0.44,45.0
0.035,0.84,1052.0,916.0,136.0,87.07,130.03,10520.0,1.24,0.12,0.43,50.0
0.035,0.84,1052.0,916.0,136.0,87.07,130.03,10520.0,1.24,0.12,0.43,50.0
0.035,0.84,1032.0,899.0,133.0,87.11,133.34,10320.0,1.29,0.13,0.45,55.0
0.035,0.84,1032.0,899.0,133.0,87.11,133.34,10320.0,1.29,0.13,0.45,55.0
0.035,0.84,1031.0,898.0,133.0,87.1,131.67,10310.0,1.28,0.13,0.44,60.0
0.035,0.84,1031.0,898.0,133.0,87.1,131.67,10310.0,1.28,0.13,0.44,60.0
0.035,0.84,1012.0,879.0,133.0,86.86,101.12,10120.0,1.0,0.1,0.34,65.0
0.035,0.84,1012.0,879.0,133.0,86.86,101.12,10120.0,1.0,0.1,0.34,65.0
0.035,0.84,1003.0,871.0,132.0,86.84,96.56,10030.0,0.96,0.1,0.33,70.0
0.04,0.84,657.0,570.0,87.0,86.76,71.33,6570.0,1.09,0.11,0.29,70.0
0.035,0.84,988.0,860.0,128.0,87.04,119.17,9880.0,1.21,0.12,0.4,75.0
0.035,0.84,988.0,860.0,128.0,87.04,119.17,9880.0,1.21,0.12,0.4,75.0
0.035,0.84,978.0,851.0,127.0,87.01,114.35,9780.0,1.17,0.12,0.39,80.0
0.035,0.84,978.0,851.0,127.0,87.01,114.35,9780.0,1.17,0.12,0.39,80.0
0.035,0.84,974.0,847.0,127.0,86.96,108.0,9740.0,1.11,0.11,0.37,85.0
0.04,0.84,638.0,554.0,84.0,86.83,74.74,6380.0,1.17,0.12,0.3,85.0
0.035,0.84,955.0,830.0,125.0,86.91,99.09,9550.0,1.04,0.1,0.34,90.0
0.04,0.84,634.0,551.0,83.0,86.91,79.73,6340.0,1.26,0.13,0.32,90.0
0.035,0.84,955.0,830.0,125.0,86.91,99.09,9550.0,1.04,0.1,0.34,95.0
0.04,0.84,631.0,549.0,82.0,87.0,86.4,6310.0,1.37,0.14,0.35,95.0
