"last_name, first_name","player_id","year","pa"
"Colon, Bartolo",112526,2015,815
"Burnett, A.J.",150359,2015,699
"Buehrle, Mark",279824,2015,827
"Vogelsong, Ryan",285064,2015,598
"Lohse, Kyle",346798,2015,665
"Lewis, Colby",407890,2015,859
"Peavy, Jake",408241,2015,448
"Harang, Aaron",421685,2015,748
"Williams, Jerome",425532,2015,553
"Danks, John",433579,2015,768
"Hernández, Félix",433587,2015,825
"Verlander, Justin",434378,2015,535
"Jiménez, Ubaldo",434622,2015,791
"Sánchez, Aníbal",434671,2015,660
"Feldman, Scott",444857,2015,451
"Kluber, Corey",446372,2015,886
"Shields, James",448306,2015,860
"Morton, Charlie",450203,2015,563
"Wilson, C.J.",450351,2015,553
"Fister, Doug",450729,2015,449
"Gallardo, Yovani",451596,2015,793
"Scherzer, Max",453286,2015,899
"Buchholz, Clay",453329,2015,469
"Cueto, Johnny",456501,2015,866
"Pelfrey, Mike",460059,2015,714
"Gonzalez, Gio",461829,2015,758
"Hughes, Phil",461833,2015,651
"Estrada, Marco",462136,2015,724
"Carrasco, Carlos",471911,2015,730
"Anderson, Brett",474463,2015,750
"Warren, Adam",476589,2015,534
"Niese, Jonathon",477003,2015,770
"Kershaw, Clayton",477132,2015,890
"Cashner, Andrew",488768,2015,804
"Quintana, Jose",500779,2015,862
"Tillman, Chris",501957,2015,740
"Archer, Chris",502042,2015,868
"Samardzija, Jeff",502188,2015,910
"Anderson, Chase",502624,2015,640
"Peralta, Wily",503449,2015,478
"Colomé, Alex",517008,2015,457
"Salazar, Danny",517593,2015,757
"Bumgarner, Madison",518516,2015,869
"Collmenter, Josh",518567,2015,499
"Heston, Chris",518790,2015,746
"Zimmermann, Jordan",519455,2015,831
"Kelly, Joe",523260,2015,587
"De La Rosa, Rubby",523989,2015,809
"Teheran, Julio",527054,2015,843
"Ramírez, Erasmo",541640,2015,665
"Cole, Gerrit",543037,2015,832
"DeSclafani, Anthony",543101,2015,785
"Eovaldi, Nathan",543135,2015,673
"Jungmann, Taylor",543380,2015,501
"Koehler, Tom",543408,2015,800
"McHugh, Collin",543521,2015,859
"Milone, Tommy",543548,2015,543
"Odorizzi, Jake",543606,2015,700
"Roark, Tanner",543699,2015,466
"Strasburg, Stephen",544931,2015,523
"Ventura, Yordano",570649,2015,693
"Fiers, Mike",571666,2015,761
"Heaney, Andrew",571760,2015,438
"Hutchison, Drew",571800,2015,664
"Richards, Garrett",572070,2015,865
"Keuchel, Dallas",572971,2015,911
"Gausman, Kevin",592332,2015,470
"Ray, Robbie",592662,2015,545
"Martinez, Carlos",593372,2015,755
"Rodriguez, Eduardo",593958,2015,521
"deGrom, Jacob",594798,2015,751
"Wisler, Matt",605538,2015,478
"Elías, Roenis",606273,2015,490
"Rodón, Carlos",607074,2015,607
"Wacha, Michael",608379,2015,762
"Graveman, Kendall",608665,2015,502
"Colon, Bartolo",112526,2016,791
"Lewis, Colby",407890,2016,472
"Peavy, Jake",408241,2016,520
"Wainwright, Adam",425794,2016,847
"Hernández, Félix",433587,2016,655
"Verlander, Justin",434378,2016,903
"Jiménez, Ubaldo",434622,2016,637
"Sánchez, Aníbal",434671,2016,668
"Nolasco, Ricky",445060,2016,817
"Kluber, Corey",446372,2016,860
"Hill, Rich",448179,2016,439
"Shields, James",448306,2016,821
"Guerra, Junior",448855,2016,492
"Fister, Doug",450729,2016,778
"Gallardo, Yovani",451596,2016,525
"Wright, Steven",453214,2016,656
"Scherzer, Max",453286,2016,902
"Buchholz, Clay",453329,2016,588
"Griffin, A.J.",456167,2016,509
"Cueto, Johnny",456501,2016,881
"Pelfrey, Mike",460059,2016,541
"Gonzalez, Gio",461829,2016,765
"Estrada, Marco",462136,2016,723
"Nova, Iván",467100,2016,684
"Carrasco, Carlos",471911,2016,599
"Niese, Jonathon",477003,2016,546
"Kershaw, Clayton",477132,2016,544
"Cashner, Andrew",488768,2016,587
"Quintana, Jose",500779,2016,837
"Tillman, Chris",501957,2016,715
"Archer, Chris",502042,2016,850
"Samardzija, Jeff",502188,2016,829
"Anderson, Chase",502624,2016,647
"Holland, Derek",502706,2016,461
"Peralta, Wily",503449,2016,554
"Salazar, Danny",517593,2016,584
"Bumgarner, Madison",518516,2016,912
"Moore, Matt",519043,2016,838
"Pomeranz, Drew",519141,2016,703
"Zimmermann, Jordan",519455,2016,450
"Pérez, Martín",527048,2016,855
"Teheran, Julio",527054,2016,758
"Andriese, Matt",542882,2016,527
"Cole, Gerrit",543037,2016,506
"DeSclafani, Anthony",543101,2016,507
"Eovaldi, Nathan",543135,2016,525
"Koehler, Tom",543408,2016,774
"McHugh, Collin",543521,2016,795
"Odorizzi, Jake",543606,2016,773
"Roark, Tanner",543699,2016,855
"Strasburg, Stephen",544931,2016,598
"Ventura, Yordano",570649,2016,816
"Fiers, Mike",571666,2016,724
"Paxton, James",572020,2016,511
"Keuchel, Dallas",572971,2016,701
"Straily, Dan",573185,2016,792
"Stroman, Marcus",573186,2016,854
"Gausman, Kevin",592332,2016,757
"Gray, Jon",592351,2016,711
"Ray, Robbie",592662,2016,776
"Taillon, Jameson",592791,2016,418
"Martinez, Carlos",593372,2016,809
"Rodriguez, Eduardo",593958,2016,457
"deGrom, Jacob",594798,2016,604
"Eickhoff, Jerad",595191,2016,811
"Bradley, Archie",605151,2016,638
"Bundy, Dylan",605164,2016,474
"Morgan, Adam",605388,2016,507
"Nola, Aaron",605400,2016,483
"Ross, Joe",605452,2016,447
"Wisler, Matt",605538,2016,671
"Perdomo, Luis",606131,2016,661
"Devenski, Chris",606965,2016,408
"Rodón, Carlos",607074,2016,714
"Wacha, Michael",608379,2016,606
"Duffey, Tyler",608648,2016,596
"Graveman, Kendall",608665,2016,785
"Colon, Bartolo",112526,2017,648
"Wainwright, Adam",425794,2017,546
"Verlander, Justin",434378,2017,849
"Jiménez, Ubaldo",434622,2017,648
"Sánchez, Aníbal",434671,2017,482
"Feldman, Scott",444857,2017,472
"Nolasco, Ricky",445060,2017,786
"Kluber, Corey",446372,2017,777
"Hill, Rich",448179,2017,552
"Shields, James",448306,2017,516
"Morton, Charlie",450203,2017,617
"Vargas, Jason",450306,2017,756
"Gallardo, Yovani",451596,2017,578
"Scherzer, Max",453286,2017,779
