position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
DH,L,James Wood,Robbie Ray,L,1,WSH,SF,away,0.0,
3B,R,Curtis Mead,Robbie Ray,L,2,WSH,SF,away,0.0,
1B,R,A. Chaparro,Robbie Ray,L,3,WSH,SF,away,0.0,
RF,R,Dylan Crews,Robbie Ray,L,4,WSH,SF,away,0.0,
LF,L,Daylen Lile,Robbie Ray,L,5,WSH,SF,away,0.0,
CF,R,Jacob Young,Robbie Ray,L,6,WSH,SF,away,0.0,
SS,S,Nasim Nunez,Robbie Ray,L,7,WSH,SF,away,0.0,
2B,L,Jorbit Vivas,Robbie Ray,L,8,WSH,SF,away,0.0,
C,S,Keibert Ruiz,Robbie Ray,L,9,WSH,SF,away,0.0,
SS,R,C. Schmitt,Foster Griffin,L,1,WSH,SF,home,0.0,
2B,L,Luis Arraez,Foster Griffin,L,2,WSH,SF,home,0.0,
3B,R,Matt Chapman,Foster Griffin,L,3,WSH,SF,home,0.0,
1B,L,R. Devers,Foster Griffin,L,4,WSH,SF,home,0.0,
RF,L,Jung Hoo Lee,Foster Griffin,L,5,WSH,SF,home,0.0,
DH,L,B. Eldridge,Foster Griffin,L,6,WSH,SF,home,0.0,
C,R,Daniel Susac,Foster Griffin,L,7,WSH,SF,home,0.0,
LF,R,V. Bericoto,Foster Griffin,L,8,WSH,SF,home,0.0,
CF,R,Jonah Cox,Foster Griffin,L,9,WSH,SF,home,0.0,
SS,R,Matt McLain,Michael King,R,1,CIN,SD,away,1.0,
LF,L,JJ Bleday,Michael King,R,2,CIN,SD,away,1.0,
3B,R,Sal Stewart,Michael King,R,3,CIN,SD,away,1.0,
2B,R,S. Steer,Michael King,R,4,CIN,SD,away,1.0,
1B,L,N. Lowe,Michael King,R,5,CIN,SD,away,1.0,
DH,R,E. Suarez,Michael King,R,6,CIN,SD,away,1.0,
CF,R,Dane Myers,Michael King,R,7,CIN,SD,away,1.0,
RF,R,Noelvi Marte,Michael King,R,8,CIN,SD,away,1.0,
C,R,P.J. Higgins,Michael King,R,9,CIN,SD,away,1.0,
2B,R,F. Tatis,Brady Singer,R,1,CIN,SD,home,1.0,
CF,L,J. Merrill,Brady Singer,R,2,CIN,SD,home,1.0,
3B,R,M. Machado,Brady Singer,R,3,CIN,SD,home,1.0,
1B,L,Gavin Sheets,Brady Singer,R,4,CIN,SD,home,1.0,
DH,L,Will Wagner,Brady Singer,R,5,CIN,SD,home,1.0,
LF,R,Samad Taylor,Brady Singer,R,6,CIN,SD,home,1.0,
